,CSK,SAO
0,1524057,EOL1ASARSAO1A1185536
1,1524057,EOL1ASARSAO1A1185544
2,1529475,EOL1ASARSAO1A1179807
3,1529475,EOL1ASARSAO1A1179846
4,1554770,EOL1ASARSAO1A1192744
5,1554770,EOL1ASARSAO1A1192643
6,1571718,EOL1ASARSAO1A1128831
7,1571718,EOL1ASARSAO1A1128808
8,1571718,EOL1ASARSAO1A1128947
9,1595457,EOL1ASARSAO1A1153935
10,1595457,EOL1ASARSAO1A1154119
11,1595457,EOL1ASARSAO1A1153927
12,1608813,EOL1ASARSAO1A1174314
13,1608813,EOL1ASARSAO1A1174266
14,1608813,EOL1ASARSAO1A1174330
15,1608813,EOL1ASARSAO1A1174260
16,1622720,EOL1ASARSAO1A1200521
17,1622720,EOL1ASARSAO1A1200539
18,1622720,EOL1ASARSAO1A1200534
19,1622720,EOL1ASARSAO1A1200599
20,1634204,EOL1ASARSAO1A1215310
21,1634204,EOL1ASARSAO1A1215299
22,1634204,EOL1ASARSAO1A1215298
23,1651333,EOL1ASARSAO1A1253277
24,1651333,EOL1ASARSAO1A1253271
25,1651333,EOL1ASARSAO1A1253276
26,1652627,EOL1ASARSAO1A1258347
27,1652627,EOL1ASARSAO1A1258316
28,1652627,EOL1ASARSAO1A1258329
29,1653365,EOL1ASARSAO1A1258347
30,1653365,EOL1ASARSAO1A1258316
31,1653365,EOL1ASARSAO1A1258329
32,1656871,EOL1ASARSAO1A1272860
33,1656871,EOL1ASARSAO1A1268414
34,1656871,EOL1ASARSAO1A1268383
35,1656871,EOL1ASARSAO1A1272952
36,1656871,EOL1ASARSAO1A1268489
37,1656871,EOL1ASARSAO1A1268494
38,1663886,EOL1ASARSAO1A1289028
39,1663886,EOL1ASARSAO1A1289039
40,1663886,EOL1ASARSAO1A1289051
41,1685047,EOL1ASARSAO1A1358474
42,1685047,EOL1ASARSAO1A1358532
43,1685047,EOL1ASARSAO1A1359004
44,1685047,EOL1ASARSAO1A1358442
45,1687436,EOL1ASARSAO1A1366373
46,1687436,EOL1ASARSAO1A1366365
47,1688873,EOL1ASARSAO1A1366373
48,1688873,EOL1ASARSAO1A1366365
49,1696271,EOL1ASARSAO1A1382995
50,1696271,EOL1ASARSAO1A1383006
51,1702876,EOL1ASARSAO1A1390850
52,1733809,EOL1ASARSAO1A1529623
53,1733809,EOL1ASARSAO1A1529469
54,1733809,EOL1ASARSAO1A1529444
55,1746414,EOL1ASARSAO1A1565446
56,1746414,EOL1ASARSAO1A1565450
57,1765869,EOL1ASARSAO1A1610467
58,1796326,EOL1ASARSAO1A1694467
59,1796326,EOL1ASARSAO1A1694434
60,1796326,EOL1ASARSAO1A1694452
61,1817289,EOL1ASARSAO1A1725370
62,1817289,EOL1ASARSAO1A1725376
63,1817289,EOL1ASARSAO1A1725633
64,1817289,EOL1ASARSAO1A1726080
65,1817289,EOL1ASARSAO1A1725410
66,1821629,EOL1ASARSAO1A1733322
67,1821629,EOL1ASARSAO1A1733407
68,1823919,EOL1ASARSAO1A1733322
69,1823919,EOL1ASARSAO1A1733407
