,CSK,SAO
0,1448749,EOL1ASARSAO1A1010430
1,1448749,EOL1ASARSAO1A1010485
2,1463111,EOL1ASARSAO1A1025329
3,1463111,EOL1ASARSAO1A1025220
4,1463111,EOL1ASARSAO1A1025197
5,1463111,EOL1ASARSAO1A1025187
6,1596435,EOL1ASARSAO1A1160585
7,1596435,EOL1ASARSAO1A1160419
8,1618857,EOL1ASARSAO1A1197737
9,1644787,EOL1ASARSAO1A1245099
10,1644787,EOL1ASARSAO1A1245067
11,1651670,EOL1ASARSAO1A1256149
12,1651670,EOL1ASARSAO1A1256101
13,1651670,EOL1ASARSAO1A1256104
14,1655516,EOL1ASARSAO1A1268025
15,1655516,EOL1ASARSAO1A1268116
16,1655516,EOL1ASARSAO1A1268109
17,1655516,EOL1ASARSAO1A1268144
18,1677388,EOL1ASARSAO1A1342782
19,1677388,EOL1ASARSAO1A1342777
20,1685668,EOL1ASARSAO1A1363126
21,1685668,EOL1ASARSAO1A1363141
22,1689914,EOL1ASARSAO1A1371293
23,1689914,EOL1ASARSAO1A1371279
24,1691328,EOL1ASARSAO1A1373885
25,1691328,EOL1ASARSAO1A1373645
26,1724100,EOL1ASARSAO1A1468649
27,1724100,EOL1ASARSAO1A1468619
28,1732439,EOL1ASARSAO1A1531214
29,1732439,EOL1ASARSAO1A1531139
30,1733740,EOL1ASARSAO1A1529667
31,1733740,EOL1ASARSAO1A1529679
32,1766244,EOL1ASARSAO1A1614765
33,1766244,EOL1ASARSAO1A1614719
34,1770276,EOL1ASARSAO1A1623567
35,1770276,EOL1ASARSAO1A1623613
36,1803500,EOL1ASARSAO1A1707790
37,1803500,EOL1ASARSAO1A1707784
38,1817970,EOL1ASARSAO1A1729986
