,CSK,SEN
0,1265274,S1B_IW_SLC__1SDV_20191216T060229_20191216T060256_019386_0249E7_5FC1
1,1265274,S1B_IW_SLC__1SDV_20191216T060204_20191216T060231_019386_0249E7_EB03
2,1368915,S1B_IW_SLC__1SDV_20200625T060232_20200625T060259_022186_02A1B9_E6B5
3,1368915,S1B_IW_SLC__1SDV_20200625T060207_20200625T060234_022186_02A1B9_9E5B
4,1386789,S1A_IW_SLC__1SDV_20200717T181029_20200717T181056_033498_03E1B6_B326
5,1386789,S1A_IW_SLC__1SDV_20200717T181004_20200717T181031_033498_03E1B6_4FD8
6,1386789,S1A_IW_SLC__1SDV_20200717T180939_20200717T181006_033498_03E1B6_0788
7,1392010,S1B_IW_SLC__1SDV_20200723T180932_20200723T181000_022602_02AE58_5137
8,1392010,S1B_IW_SLC__1SDV_20200723T180905_20200723T180935_022602_02AE58_A250
9,1404337,S1A_IW_SLC__1SDV_20200808T182615_20200808T182642_033819_03EBC6_7056
10,1409622,S1B_IW_SLC__1SDV_20200812T060235_20200812T060302_022886_02B715_A643
11,1409622,S1B_IW_SLC__1SDV_20200812T060210_20200812T060237_022886_02B715_8611
12,1444014,S1B_IW_SLC__1SDV_20200909T180935_20200909T181003_023302_02C414_F629
13,1444014,S1B_IW_SLC__1SDV_20200909T180908_20200909T180937_023302_02C414_D57C
14,1497500,S1B_IW_SLC__1SDV_20201005T175304_20201005T175331_023681_02CFF0_0941
15,1497500,S1B_IW_SLC__1SDV_20201005T175238_20201005T175306_023681_02CFF0_1561
16,1538379,S1A_IW_SLC__1SDV_20201021T181032_20201021T181059_034898_0411A3_8465
17,1538379,S1A_IW_SLC__1SDV_20201021T181008_20201021T181035_034898_0411A3_4F4B
18,1538379,S1A_IW_SLC__1SDV_20201021T180943_20201021T181010_034898_0411A3_8B22
19,1621561,S1B_IW_SLC__1SDV_20201122T175304_20201122T175331_024381_02E5CA_48D3
20,1621561,S1B_IW_SLC__1SDV_20201122T175238_20201122T175306_024381_02E5CA_91F9
21,1644787,S1A_IW_SLC__1SDV_20201208T181031_20201208T181058_035598_0429D8_CA67
22,1644787,S1A_IW_SLC__1SDV_20201208T181007_20201208T181034_035598_0429D8_DDB2
23,1644787,S1A_IW_SLC__1SDV_20201208T180942_20201208T181009_035598_0429D8_8DA3
24,1651670,S1B_IW_SLC__1SDV_20201214T180935_20201214T181003_024702_02F019_1FED
25,1651670,S1B_IW_SLC__1SDV_20201214T180907_20201214T180937_024702_02F019_6415
26,1671506,S1B_IW_SLC__1SDV_20210103T060235_20210103T060302_024986_02F94A_2906
27,1671506,S1B_IW_SLC__1SDV_20210103T060210_20210103T060237_024986_02F94A_67F7
28,1677388,S1B_IW_SLC__1SDV_20210109T175302_20210109T175329_025081_02FC4B_402A
29,1677388,S1B_IW_SLC__1SDV_20210109T175236_20210109T175304_025081_02FC4B_89B3
30,1701334,S1A_IW_SLC__1SDV_20210125T181029_20210125T181056_036298_04422E_EB01
31,1701334,S1A_IW_SLC__1SDV_20210125T181005_20210125T181031_036298_04422E_C992
32,1701334,S1A_IW_SLC__1SDV_20210125T180940_20210125T181007_036298_04422E_130B
33,1709852,S1B_IW_SLC__1SDV_20210131T180933_20210131T181000_025402_030687_7CBC
34,1709852,S1B_IW_SLC__1SDV_20210131T180905_20210131T180935_025402_030687_A2A8
35,1733740,S1B_IW_SLC__1SDV_20210220T060233_20210220T060300_025686_030FDC_A715
36,1733740,S1B_IW_SLC__1SDV_20210220T060208_20210220T060235_025686_030FDC_3831
37,1758266,S1A_IW_SLC__1SDV_20210314T181029_20210314T181055_036998_045A85_18C5
38,1758266,S1A_IW_SLC__1SDV_20210314T181004_20210314T181031_036998_045A85_3C1E
39,1758266,S1A_IW_SLC__1SDV_20210314T180939_20210314T181006_036998_045A85_F25D
40,1766244,S1B_IW_SLC__1SDV_20210320T180932_20210320T181000_026102_031D58_9F83
