,CSK,SEN
0,1258530,S1A_IW_SLC__1SDV_20191203T171317_20191203T171344_030187_03732D_0400
1,1258530,S1A_IW_SLC__1SDV_20191203T171252_20191203T171319_030187_03732D_2C8B
2,1258530,S1A_IW_SLC__1SDV_20191203T171227_20191203T171254_030187_03732D_10AF
3,1269638,S1B_IW_SLC__1SDV_20200104T165554_20200104T165621_019670_0252D8_AA79
4,1269638,S1B_IW_SLC__1SDV_20200104T165529_20200104T165556_019670_0252D8_705E
5,1274550,S1A_IW_SLC__1SDV_20200120T171315_20200120T171342_030887_038B77_2A76
6,1274550,S1A_IW_SLC__1SDV_20200120T171250_20200120T171317_030887_038B77_FA37
7,1274550,S1A_IW_SLC__1SDV_20200120T171226_20200120T171252_030887_038B77_9900
8,1290116,S1B_IW_SLC__1SDV_20200221T165553_20200221T165620_020370_026955_1F42
9,1290116,S1B_IW_SLC__1SDV_20200221T165528_20200221T165555_020370_026955_98A7
10,1293433,S1B_IW_SLC__1SDV_20200226T170358_20200226T170424_020443_026BB9_8795
11,1293433,S1B_IW_SLC__1SDV_20200226T170334_20200226T170401_020443_026BB9_DA40
12,1319682,S1B_IW_SLC__1SDV_20200409T165553_20200409T165620_021070_027F8A_A198
13,1319682,S1B_IW_SLC__1SDV_20200409T165528_20200409T165555_021070_027F8A_47FC
14,1324627,S1B_IW_SLC__1SDV_20200414T170400_20200414T170425_021143_0281E4_4F25
15,1324627,S1B_IW_SLC__1SDV_20200414T170335_20200414T170402_021143_0281E4_B860
16,1353680,S1B_IW_SLC__1SDV_20200527T165556_20200527T165623_021770_02951D_6156
17,1353680,S1B_IW_SLC__1SDV_20200527T165531_20200527T165558_021770_02951D_1277
18,1357156,S1B_IW_SLC__1SDV_20200601T170402_20200601T170427_021843_029752_78B8
19,1357156,S1B_IW_SLC__1SDV_20200601T170337_20200601T170404_021843_029752_981C
20,1361980,S1A_IW_SLC__1SDV_20200612T171318_20200612T171345_032987_03D225_B68F
