,CSK,SAO
0,1419538,EOL1ASARSAO1A1231771
1,1527384,EOL1ASARSAO1A1180265
2,1527384,EOL1ASARSAO1A1180565
3,1527384,EOL1ASARSAO1A1180367
4,1527384,EOL1ASARSAO1A1180211
5,1527384,EOL1ASARSAO1A1180212
6,1534730,EOL1ASARSAO1A1198795
7,1534730,EOL1ASARSAO1A1198827
8,1598374,EOL1ASARSAO1A1169801
9,1598374,EOL1ASARSAO1A1169668
10,1598374,EOL1ASARSAO1A1170243
11,1598374,EOL1ASARSAO1A1169980
12,1598374,EOL1ASARSAO1A1169669
13,1598374,EOL1ASARSAO1A1169649
14,1643704,EOL1ASARSAO1A1240108
15,1643704,EOL1ASARSAO1A1240050
16,1643704,EOL1ASARSAO1A1240057
17,1643704,EOL1ASARSAO1A1240059
18,1652334,EOL1ASARSAO1A1257512
19,1652334,EOL1ASARSAO1A1257343
20,1652334,EOL1ASARSAO1A1257354
21,1652334,EOL1ASARSAO1A1257516
22,1652334,EOL1ASARSAO1A1257235
23,1661698,EOL1ASARSAO1A1283703
24,1661698,EOL1ASARSAO1A1283719
25,1661698,EOL1ASARSAO1A1283778
26,1661698,EOL1ASARSAO1A1283853
27,1661698,EOL1ASARSAO1A1283721
28,1661698,EOL1ASARSAO1A1283723
29,1686889,EOL1ASARSAO1A1365319
30,1686889,EOL1ASARSAO1A1365307
31,1686889,EOL1ASARSAO1A1365391
32,1686889,EOL1ASARSAO1A1365472
33,1686889,EOL1ASARSAO1A1365302
34,1686889,EOL1ASARSAO1A1365296
35,1699257,EOL1ASARSAO1A1386298
36,1699257,EOL1ASARSAO1A1386416
37,1699257,EOL1ASARSAO1A1386314
38,1699257,EOL1ASARSAO1A1386327
39,1699257,EOL1ASARSAO1A1386386
40,1722845,EOL1ASARSAO1A1461285
41,1722845,EOL1ASARSAO1A1461270
42,1730695,EOL1ASARSAO1A1495993
43,1730695,EOL1ASARSAO1A1495692
44,1730695,EOL1ASARSAO1A1495499
45,1730695,EOL1ASARSAO1A1495491
46,1730695,EOL1ASARSAO1A1495519
47,1751759,EOL1ASARSAO1A1582482
48,1751759,EOL1ASARSAO1A1582481
49,1751759,EOL1ASARSAO1A1582518
50,1751759,EOL1ASARSAO1A1582458
51,1751759,EOL1ASARSAO1A1582430
52,1756348,EOL1ASARSAO1A1591762
53,1756348,EOL1ASARSAO1A1591783
54,1756348,EOL1ASARSAO1A1592317
55,1756348,EOL1ASARSAO1A1591582
56,1776510,EOL1ASARSAO1A1634242
57,1776510,EOL1ASARSAO1A1634226
58,1776510,EOL1ASARSAO1A1634228
59,1776510,EOL1ASARSAO1A1634411
60,1776510,EOL1ASARSAO1A1634179
