,CSK,SAO,IoU,geometry
0,1524057,EOL1ASARSAO1A1185536,0.0,"MULTIPOLYGON (((18.1993993023639 39.989136356065, 17.9333077462151 41.0299520934179, 18.6650522065298 41.1338974291921, 18.9192257842565 40.0928342313462, 18.1993993023639 39.989136356065)), ((17.78611 39.565113, 17.704941 39.876743, 18.18322 39.947857, 18.259399 39.635746, 17.78611 39.565113)))"
1,1524057,EOL1ASARSAO1A1185544,0.0,"MULTIPOLYGON (((18.2991057771824 39.5942132090928, 18.0312549681249 40.6491109987999, 18.7585681952025 40.7529510280188, 19.0145760306932 39.6977889100627, 18.2991057771824 39.5942132090928)), ((17.78611 39.565113, 17.704941 39.876743, 18.18322 39.947857, 18.259399 39.635746, 17.78611 39.565113)))"
2,1529475,EOL1ASARSAO1A1179807,0.03048043149690813,"MULTIPOLYGON (((17.8088700384297 39.1357753148449, 17.0866357139444 39.2410302480447, 17.3448414487403 40.3129915818968, 18.0790319671484 40.2075095888022, 17.8088700384297 39.1357753148449)), ((17.533239 40.117607, 17.05818 40.184311, 17.297701 41.179729, 17.77986 41.112995, 17.533239 40.117607)))"
3,1529475,EOL1ASARSAO1A1179846,0.19016075767771726,"MULTIPOLYGON (((18.0608152634151 40.1815436865683, 17.3380710944231 40.2853877060697, 17.5937802439543 41.3294654572683, 18.3285824373454 41.2253276747195, 18.0608152634151 40.1815436865683)), ((17.533239 40.117607, 17.05818 40.184311, 17.297701 41.179729, 17.77986 41.112995, 17.533239 40.117607)))"
4,1554770,EOL1ASARSAO1A1192744,0.0,"MULTIPOLYGON (((16.5279619758811 40.586108385836, 16.2554337171772 41.6407724314291, 16.9938274961628 41.7447703770126, 17.2539230874244 40.6898398307221, 16.5279619758811 40.586108385836)), ((16.54603 38.163727, 15.504189 42.108711, 15.98802 42.178989, 17.0028 38.233337, 16.54603 38.163727)))"
5,1554770,EOL1ASARSAO1A1192643,0.0,"MULTIPOLYGON (((16.6677233825699 39.9907350320339, 16.406250399907 41.0131660124315, 17.1487073363855 41.1186709947086, 17.3983161573651 40.0959348888648, 16.6677233825699 39.9907350320339)), ((16.54603 38.163727, 15.504189 42.108711, 15.98802 42.178989, 17.0028 38.233337, 16.54603 38.163727)))"
6,1571718,EOL1ASARSAO1A1128831,0.0,"MULTIPOLYGON (((17.1241066990989 39.2587033367598, 16.3553211560565 39.3656992413196, 16.5978998809102 40.4215998271, 17.3790918614056 40.3145512986727, 17.1241066990989 39.2587033367598)), ((18.151239 39.684223, 17.68788 39.752647, 17.9492 40.795181, 18.419689 40.72665, 18.151239 39.684223)))"
7,1571718,EOL1ASARSAO1A1128808,0.0,"MULTIPOLYGON (((17.254882766329 39.846358554517, 16.4895302977106 39.9518823917599, 16.7340621314823 41.0074174025517, 17.5120008393732 40.9017740757167, 17.254882766329 39.846358554517)), ((18.151239 39.684223, 17.68788 39.752647, 17.9492 40.795181, 18.419689 40.72665, 18.151239 39.684223)))"
8,1571718,EOL1ASARSAO1A1128947,0.0,"MULTIPOLYGON (((17.3687559678591 40.3160417057104, 16.5978899113616 40.4216385013967, 16.8348514641324 41.4376846705014, 17.618116061815 41.3319903299253, 17.3687559678591 40.3160417057104)), ((18.151239 39.684223, 17.68788 39.752647, 17.9492 40.795181, 18.419689 40.72665, 18.151239 39.684223)))"
9,1595457,EOL1ASARSAO1A1153935,0.0,"MULTIPOLYGON (((17.3532180773992 40.1326770104775, 17.1043349700415 41.1495626840838, 17.8947778740402 41.2564699562072, 18.1312034988311 40.2395047508755, 17.3532180773992 40.1326770104775)), ((16.561609 38.149055, 15.51113 42.131554, 15.993939 42.201653, 17.01832 38.21854, 16.561609 38.149055)))"
10,1595457,EOL1ASARSAO1A1154119,0.0,"MULTIPOLYGON (((17.4595216400735 39.6931513203632, 16.9542354964975 41.754473428135, 17.752387950665 41.8614765593632, 18.2323191871651 39.7999350275222, 17.4595216400735 39.6931513203632)), ((16.561609 38.149055, 15.51113 42.131554, 15.993939 42.201653, 17.01832 38.21854, 16.561609 38.149055)))"
11,1595457,EOL1ASARSAO1A1153927,0.0,"MULTIPOLYGON (((17.4924767088274 39.5562599129329, 17.2460118981079 40.5727856430327, 18.0197513615299 40.6783613780219, 18.2542594854223 39.6617895928856, 17.4924767088274 39.5562599129329)), ((16.561609 38.149055, 15.51113 42.131554, 15.993939 42.201653, 17.01832 38.21854, 16.561609 38.149055)))"
12,1608813,EOL1ASARSAO1A1174314,0.0,"MULTIPOLYGON (((17.1521299877804 42.9577201665115, 16.5426068141602 45.1408597244213, 17.9480341050465 45.3291191355691, 18.5040346244754 43.1443080378915, 17.1521299877804 42.9577201665115)), ((17.81159 39.543594, 17.415291 41.049206, 17.898939 41.120331, 18.28467 39.614479, 17.81159 39.543594)))"
13,1608813,EOL1ASARSAO1A1174266,0.0,"MULTIPOLYGON (((17.2126218870066 42.7352902696049, 16.5426068146429 45.1408597227333, 17.9480341054852 45.3291191338809, 18.5594008137048 42.921739627968, 17.2126218870066 42.7352902696049)), ((17.81159 39.543594, 17.415291 41.049206, 17.898939 41.120331, 18.28467 39.614479, 17.81159 39.543594)))"
14,1608813,EOL1ASARSAO1A1174330,0.008439214920587638,"MULTIPOLYGON (((17.6731094279986 40.9558872308827, 17.0266100405303 43.3631668354502, 18.3899305112712 43.5504661893016, 18.982690279706 41.1417060408785, 17.6731094279986 40.9558872308827)), ((17.81159 39.543594, 17.415291 41.049206, 17.898939 41.120331, 18.28467 39.614479, 17.81159 39.543594)))"
15,1608813,EOL1ASARSAO1A1174260,0.113334590027023,"MULTIPOLYGON (((18.0756903666283 39.3985065978358, 17.4477514181362 41.8082542625288, 18.7637473432775 41.9928882183465, 19.3423406810339 39.5820082535467, 18.0756903666283 39.3985065978358)), ((17.81159 39.543594, 17.415291 41.049206, 17.898939 41.120331, 18.28467 39.614479, 17.81159 39.543594)))"
16,1622720,EOL1ASARSAO1A1200521,0.0,"MULTIPOLYGON (((16.4553978612716 40.7649831837623, 16.2073314142412 41.8204800270937, 16.8022131773681 41.8966399988817, 17.0404071496782 40.8412212380587, 16.4553978612716 40.7649831837623)), ((15.487959 39.705322, 14.84348 42.244019, 15.329159 42.311058, 15.974591 39.774818, 15.487959 39.705322)))"
17,1622720,EOL1ASARSAO1A1200539,0.0,"MULTIPOLYGON (((16.5830699445262 40.1704024696056, 16.3370679437327 41.2258276100591, 16.9365019012351 41.3033914413827, 17.1727638121569 40.2480180443355, 16.5830699445262 40.1704024696056)), ((15.487959 39.705322, 14.84348 42.244019, 15.329159 42.311058, 15.974591 39.774818, 15.487959 39.705322)))"
18,1622720,EOL1ASARSAO1A1200534,0.0,"MULTIPOLYGON (((16.7122931309927 39.609423492795, 16.4683171089881 40.6647732253071, 17.0625159233682 40.7423337924138, 17.2970117154927 39.6870879025659, 16.7122931309927 39.609423492795)), ((15.487959 39.705322, 14.84348 42.244019, 15.329159 42.311058, 15.974591 39.774818, 15.487959 39.705322)))"
19,1622720,EOL1ASARSAO1A1200599,0.0,"MULTIPOLYGON (((16.7426186919155 39.4771675114354, 16.1970095317049 41.8192589117093, 16.8021594082402 41.8967619800466, 17.326183611848 39.5548485716776, 16.7426186919155 39.4771675114354)), ((15.487959 39.705322, 14.84348 42.244019, 15.329159 42.311058, 15.974591 39.774818, 15.487959 39.705322)))"
20,1634204,EOL1ASARSAO1A1215310,0.0,"MULTIPOLYGON (((18.100141628544 40.2102870425284, 17.85088314172 41.2792314075494, 18.4507756694197 41.3567237277819, 18.6901334623493 40.2878865865332, 18.100141628544 40.2102870425284)), ((16.890881 40.169506, 16.605129 41.300289, 17.083771 41.367226, 17.36149 40.23637, 16.890881 40.169506)))"
21,1634204,EOL1ASARSAO1A1215299,0.0,"MULTIPOLYGON (((18.2331468181692 39.633017406639, 17.9858598238011 40.7024839134847, 18.5708113451723 40.7788211546068, 18.8086379591439 39.7094244013192, 18.2331468181692 39.633017406639)), ((16.890881 40.169506, 16.605129 41.300289, 17.083771 41.367226, 17.36149 40.23637, 16.890881 40.169506)))"
22,1634204,EOL1ASARSAO1A1215298,0.0,"MULTIPOLYGON (((18.3358757610415 39.1839423990217, 18.090241784208 40.2530709811499, 18.6711600359938 40.3294182986562, 18.9075378412863 39.2604037873318, 18.3358757610415 39.1839423990217)), ((16.890881 40.169506, 16.605129 41.300289, 17.083771 41.367226, 17.36149 40.23637, 16.890881 40.169506)))"
23,1651333,EOL1ASARSAO1A1253277,0.0,"MULTIPOLYGON (((16.5572915534458 40.6042861911267, 16.279703685249 41.6784595837038, 17.0186419634835 41.7824626424575, 17.283563205641 40.7079586094763, 16.5572915534458 40.6042861911267)), ((16.55982 38.166473, 15.508351 42.148918, 15.992431 42.219437, 17.016569 38.236267, 16.55982 38.166473)))"
24,1651333,EOL1ASARSAO1A1253271,0.0,"MULTIPOLYGON (((16.6997859837539 39.9980477434133, 16.4336163048016 41.038953651369, 17.1764770237387 41.1444368065807, 17.4305503840528 40.1032425193859, 16.6997859837539 39.9980477434133)), ((16.55982 38.166473, 15.508351 42.148918, 15.992431 42.219437, 17.016569 38.236267, 16.55982 38.166473)))"
25,1651333,EOL1ASARSAO1A1253276,0.0,"MULTIPOLYGON (((16.8436969330205 39.4271579848143, 16.5716216547415 40.5017203805297, 17.3081629719058 40.6070365081866, 17.5680932107697 39.5321950452258, 16.8436969330205 39.4271579848143)), ((16.55982 38.166473, 15.508351 42.148918, 15.992431 42.219437, 17.016569 38.236267, 16.55982 38.166473)))"
26,1652627,EOL1ASARSAO1A1258347,0.0,"MULTIPOLYGON (((16.4860683618113 39.8169516625218, 15.7567641327833 39.9221996224831, 16.0081112281934 40.9553707464999, 16.7493053703268 40.8498373189201, 16.4860683618113 39.8169516625218)), ((18.163651 42.399979, 17.637609 42.478405, 17.746925 42.91819, 18.270683 42.840527, 18.163651 42.399979)))"
