,CSK,SAO,IoU,geometry
2,1529475,EOL1ASARSAO1A1179807,0.03048043149690813,"MULTIPOLYGON (((17.8088700384297 39.1357753148449, 17.0866357139444 39.2410302480447, 17.3448414487403 40.3129915818968, 18.0790319671484 40.2075095888022, 17.8088700384297 39.1357753148449)), ((17.533239 40.117607, 17.05818 40.184311, 17.297701 41.179729, 17.77986 41.112995, 17.533239 40.117607)))"
3,1529475,EOL1ASARSAO1A1179846,0.19016075767771726,"MULTIPOLYGON (((18.0608152634151 40.1815436865683, 17.3380710944231 40.2853877060697, 17.5937802439543 41.3294654572683, 18.3285824373454 41.2253276747195, 18.0608152634151 40.1815436865683)), ((17.533239 40.117607, 17.05818 40.184311, 17.297701 41.179729, 17.77986 41.112995, 17.533239 40.117607)))"
14,1608813,EOL1ASARSAO1A1174330,0.008439214920587638,"MULTIPOLYGON (((17.6731094279986 40.9558872308827, 17.0266100405303 43.3631668354502, 18.3899305112712 43.5504661893016, 18.982690279706 41.1417060408785, 17.6731094279986 40.9558872308827)), ((17.81159 39.543594, 17.415291 41.049206, 17.898939 41.120331, 18.28467 39.614479, 17.81159 39.543594)))"
15,1608813,EOL1ASARSAO1A1174260,0.113334590027023,"MULTIPOLYGON (((18.0756903666283 39.3985065978358, 17.4477514181362 41.8082542625288, 18.7637473432775 41.9928882183465, 19.3423406810339 39.5820082535467, 18.0756903666283 39.3985065978358)), ((17.81159 39.543594, 17.415291 41.049206, 17.898939 41.120331, 18.28467 39.614479, 17.81159 39.543594)))"
29,1653365,EOL1ASARSAO1A1258347,0.12121738881976042,"MULTIPOLYGON (((16.4860683618113 39.8169516625218, 15.7567641327833 39.9221996224831, 16.0081112281934 40.9553707464999, 16.7493053703268 40.8498373189201, 16.4860683618113 39.8169516625218)), ((15.83544 39.343632, 15.36559 39.410042, 16.02626 42.15221, 16.515739 42.085556, 15.83544 39.343632)))"
30,1653365,EOL1ASARSAO1A1258316,0.12278849467908673,"MULTIPOLYGON (((16.6204337876362 40.3926700590076, 15.8959192387287 40.4964004753872, 16.1494660943832 41.5287346155482, 16.8860166452198 41.4247028884103, 16.6204337876362 40.3926700590076)), ((15.83544 39.343632, 15.36559 39.410042, 16.02626 42.15221, 16.515739 42.085556, 15.83544 39.343632)))"
31,1653365,EOL1ASARSAO1A1258329,0.12295117345626429,"MULTIPOLYGON (((16.7378519236321 40.8514027405793, 16.0080681497244 40.9552728628111, 16.2638563843045 41.9885377142487, 17.0059723174288 41.8843563193197, 16.7378519236321 40.8514027405793)), ((15.83544 39.343632, 15.36559 39.410042, 16.02626 42.15221, 16.515739 42.085556, 15.83544 39.343632)))"
34,1656871,EOL1ASARSAO1A1268383,0.0009527732459986824,"MULTIPOLYGON (((17.6821021820704 41.0484249190882, 17.0346451890148 43.4549455458663, 18.4002925120263 43.642327030846, 18.9937732068038 41.2342994455929, 17.6821021820704 41.0484249190882)), ((17.81172 39.540409, 17.4207 41.026604, 17.904221 41.097607, 18.2848 39.611229, 17.81172 39.540409)))"
35,1656871,EOL1ASARSAO1A1272952,0.0009527732459986824,"MULTIPOLYGON (((17.6821021820704 41.0484249190882, 17.0346451890148 43.4549455458663, 18.4002925120263 43.642327030846, 18.9937732068038 41.2342994455929, 17.6821021820704 41.0484249190882)), ((17.81172 39.540409, 17.4207 41.026604, 17.904221 41.097607, 18.2848 39.611229, 17.81172 39.540409)))"
36,1656871,EOL1ASARSAO1A1268489,0.08874284912089118,"MULTIPOLYGON (((18.1417717686347 39.2695302921562, 17.456317842374 41.9009296763164, 18.786371881153 42.0872704059386, 19.4175124570677 39.4545719537595, 18.1417717686347 39.2695302921562)), ((17.81172 39.540409, 17.4207 41.026604, 17.904221 41.097607, 18.2848 39.611229, 17.81172 39.540409)))"
37,1656871,EOL1ASARSAO1A1268494,0.08874284912089118,"MULTIPOLYGON (((18.1417717686347 39.2695302921562, 17.456317842374 41.9009296763164, 18.786371881153 42.0872704059386, 19.4175124570677 39.4545719537595, 18.1417717686347 39.2695302921562)), ((17.81172 39.540409, 17.4207 41.026604, 17.904221 41.097607, 18.2848 39.611229, 17.81172 39.540409)))"
