,CSK,SEN,IoU,geometry
0,1257747,S1A_IW_SLC__1SDV_20191202T163314_20191202T163341_030172_0372A4_BE19,0.0,"MULTIPOLYGON (((18.994741 42.252789, 18.560352 43.871471, 21.750288 44.27169, 22.098324 42.65320999999999, 18.994741 42.252789)), ((17.54677 40.112141, 17.07169 40.178596, 17.310631 41.171963, 17.79281 41.105522, 17.54677 40.112141)))"
1,1266369,S1B_IW_SLC__1SDV_20191218T164903_20191218T164930_019422_024B06_90DE,0.0,"MULTIPOLYGON (((14.813063 42.453152, 14.375051 44.077351, 17.589483 44.479431, 17.939592 42.85537, 14.813063 42.453152)), ((17.535191 40.114166, 17.060129 40.180786, 17.2992 41.174686, 17.781361 41.108074, 17.535191 40.114166)))"
2,1266369,S1B_IW_SLC__1SDV_20191218T164838_20191218T164905_019422_024B06_CFF8,0.0,"MULTIPOLYGON (((15.18493 40.959644, 14.758066 42.586014, 17.899773 42.989681, 18.244768 41.3638, 15.18493 40.959644)), ((17.535191 40.114166, 17.060129 40.180786, 17.2992 41.174686, 17.781361 41.108074, 17.535191 40.114166)))"
3,1266369,S1B_IW_SLC__1SDV_20191218T164813_20191218T164840_019422_024B06_271C,0.0968657835942242,"MULTIPOLYGON (((15.566743 39.469177, 15.150839 41.096081, 18.216772 41.500088, 18.556665 39.874023, 15.566743 39.469177)), ((17.535191 40.114166, 17.060129 40.180786, 17.2992 41.174686, 17.781361 41.108074, 17.535191 40.114166)))"
4,1266369,S1B_IW_SLC__1SDV_20191218T164747_20191218T164815_019422_024B06_AB04,0.0,"MULTIPOLYGON (((15.950139 37.92557100000001, 15.531186 39.605228, 18.52774 40.010082, 18.873877 38.331619, 15.950139 37.92557100000001)), ((17.535191 40.114166, 17.060129 40.180786, 17.2992 41.174686, 17.781361 41.108074, 17.535191 40.114166)))"
5,1275943,S1A_IW_SLC__1SDV_20200124T164139_20200124T164206_030945_038D7F_249B,0.0,"MULTIPOLYGON (((16.728758 43.020885, 16.28792 44.638386, 19.525482 45.039207, 19.876478 43.421703, 16.728758 43.020885)), ((19.576324 41.121147, 19.10013 41.188286, 19.19902 41.587158, 19.678347 41.51997, 19.576324 41.121147)))"
6,1275943,S1A_IW_SLC__1SDV_20200124T164114_20200124T164141_030945_038D7F_20BB,0.0,"MULTIPOLYGON (((17.131933 41.532372, 16.703621 43.15134, 19.854191 43.551407, 20.199234 41.932835, 17.131933 41.532372)), ((19.576324 41.121147, 19.10013 41.188286, 19.19902 41.587158, 19.678347 41.51997, 19.576324 41.121147)))"
7,1275943,S1A_IW_SLC__1SDV_20200124T164049_20200124T164116_030945_038D7F_BAD2,0.038855402519024154,"MULTIPOLYGON (((17.502289 40.039509, 17.084679 41.659752, 20.164133 42.06122199999999, 20.504253 40.441711, 17.502289 40.039509)), ((19.576324 41.121147, 19.10013 41.188286, 19.19902 41.587158, 19.678347 41.51997, 19.576324 41.121147)))"
8,1275943,S1A_IW_SLC__1SDV_20200124T164023_20200124T164051_030945_038D7F_41D5,0.0,"MULTIPOLYGON (((17.888947 38.489639, 17.46707 40.16832, 20.475988 40.570633, 20.823385 38.893047, 17.888947 38.489639)), ((19.576324 41.121147, 19.10013 41.188286, 19.19902 41.587158, 19.678347 41.51997, 19.576324 41.121147)))"
9,1278534,S1B_IW_SLC__1SDV_20200130T164057_20200130T164124_020049_025F07_833E,0.0,"MULTIPOLYGON (((16.731876 43.020596, 16.291069 44.638222, 19.521111 45.038166, 19.872284 43.420532, 16.731876 43.020596)), ((15.83691 39.382702, 15.366889 39.449482, 16.008221 42.110477, 16.49733 42.04361, 15.83691 39.382702)))"
