,CSK,SEN,IoU,geometry
3,1266369,S1B_IW_SLC__1SDV_20191218T164813_20191218T164840_019422_024B06_271C,0.0968657835942242,"MULTIPOLYGON (((15.566743 39.469177, 15.150839 41.096081, 18.216772 41.500088, 18.556665 39.874023, 15.566743 39.469177)), ((17.535191 40.114166, 17.060129 40.180786, 17.2992 41.174686, 17.781361 41.108074, 17.535191 40.114166)))"
7,1275943,S1A_IW_SLC__1SDV_20200124T164049_20200124T164116_030945_038D7F_BAD2,0.038855402519024154,"MULTIPOLYGON (((17.502289 40.039509, 17.084679 41.659752, 20.164133 42.06122199999999, 20.504253 40.441711, 17.502289 40.039509)), ((19.576324 41.121147, 19.10013 41.188286, 19.19902 41.587158, 19.678347 41.51997, 19.576324 41.121147)))"
15,1280633,S1B_IW_SLC__1SDV_20200204T164811_20200204T164839_020122_026163_E4C1,0.09316414941280282,"MULTIPOLYGON (((15.567871 39.468296, 15.151988 41.095333, 18.217793 41.499283, 18.557665 39.873085, 15.567871 39.468296)), ((17.54537 40.14323, 17.07015 40.210049, 17.300119 41.165848, 17.782169 41.099049, 17.54537 40.14323)))"
19,1310194,S1B_IW_SLC__1SDV_20200323T164811_20200323T164838_020822_0277BB_5BCA,0.09318009558844352,"MULTIPOLYGON (((15.568316 39.468395, 15.152668 41.094837, 18.218311 41.498726, 18.557999 39.873131, 15.568316 39.468395)), ((17.5375 40.138466, 17.0623 40.205189, 17.292299 41.160824, 17.77433 41.094112, 17.5375 40.138466)))"
23,1340348,S1B_IW_SLC__1SDV_20200510T164813_20200510T164840_021522_028DCF_60B1,0.09318758148236753,"MULTIPOLYGON (((15.569003 39.468182, 15.153161 41.095257, 18.218437 41.499126, 18.558294 39.872898, 15.569003 39.468182)), ((17.54476 40.133686, 17.069559 40.200279, 17.29969 41.156349, 17.7817 41.089676, 17.54476 40.133686)))"
35,1479132,S1B_IW_SLC__1SDV_20200926T164041_20200926T164108_023549_02CBDE_8123,0.0463087031201403,"MULTIPOLYGON (((17.135551 41.532143, 16.707291 43.151264, 19.850044 43.550385, 20.195248 41.931664, 17.135551 41.532143)), ((18.161591 42.403347, 17.634979 42.482052, 17.747641 42.922897, 18.267855 42.8456, 18.161591 42.403347)))"
44,1599279,S1B_IW_SLC__1SDV_20201113T164041_20201113T164108_024249_02E1AF_257C,0.046188210916303145,"MULTIPOLYGON (((17.135752 41.532436, 16.707556 43.151291, 19.85063 43.550434, 20.195765 41.931976, 17.135752 41.532436)), ((18.168289 42.397747, 17.642361 42.476505, 17.751747 42.916336, 18.273254 42.838654, 18.168289 42.397747)))"
53,1730645,S1B_IW_SLC__1SDV_20210217T164037_20210217T164104_025649_030EB1_3956,0.04633720207014151,"MULTIPOLYGON (((17.13505 41.531902, 16.706852 43.150627, 19.849848 43.549809, 20.194998 41.931477, 17.13505 41.531902)), ((18.163839 42.401466, 17.63781 42.479996, 17.750536 42.921036, 18.271412 42.8437, 18.163839 42.401466)))"
62,1796326,S1B_IW_SLC__1SDV_20210411T164818_20210411T164845_026422_03277C_763A,0.04047264681616466,"MULTIPOLYGON (((15.568888 39.468536, 15.153074 41.095608, 18.21847 41.499466, 18.558298 39.873238, 15.568888 39.468536)), ((16.808123 40.511539, 16.323612 40.575359, 16.416777 40.986603, 16.902256 40.923103, 16.808123 40.511539)))"
69,1273390,S1A_IW_SLC__1SDV_20200117T164918_20200117T164945_030843_0389F3_CDAB,0.10793356337061079,"MULTIPOLYGON (((15.213163 40.910099, 14.788989 42.529362, 17.914263 42.931087, 18.257507 41.31234, 15.213163 40.910099)), ((15.54027 39.775837, 15.073171 39.84605, 15.69628 42.23526, 16.18042 42.164516, 15.54027 39.775837)))"
