,CSK,SAO,IoU,geometry
0,1448749,EOL1ASARSAO1A1010430,0.0,"MULTIPOLYGON (((-5.21665395431091 36.4058478184524, -5.46098567615339 37.418334077216, -4.76564843732119 37.5219958404466, -4.53105370867678 36.509381394805, -5.21665395431091 36.4058478184524)), ((-5.67786 35.886486, -5.790161 36.348843, -5.341716 36.418961, -5.23454 35.95612, -5.67786 35.886486)))"
1,1448749,EOL1ASARSAO1A1010485,0.0,"MULTIPOLYGON (((-5.07579314515955 35.8152707200038, -5.31798704650661 36.8276300890997, -4.62839063072265 36.9312160117659, -4.39565334322433 35.9187400460793, -5.07579314515955 35.8152707200038)), ((-5.67786 35.886486, -5.790161 36.348843, -5.341716 36.418961, -5.23454 35.95612, -5.67786 35.886486)))"
2,1463111,EOL1ASARSAO1A1025329,0.0,"MULTIPOLYGON (((-1.17528171552006 35.8484545955706, -1.86578775666368 35.953471020113, -1.58974957625254 37.1524394904207, -0.887811917728428 37.0472647071729, -1.17528171552006 35.8484545955706)), ((-0.97607 37.744446, -1.432794 37.811722, -1.328635 38.264248, -0.866958 38.196701, -0.97607 37.744446)))"
3,1463111,EOL1ASARSAO1A1025220,0.0,"MULTIPOLYGON (((-1.04209818150595 36.4494036850822, -1.72834738916635 36.5529693418711, -1.49023801471802 37.5801665781254, -0.794087930639131 37.4764577183755, -1.04209818150595 36.4494036850822)), ((-0.97607 37.744446, -1.432794 37.811722, -1.328635 38.264248, -0.866958 38.196701, -0.97607 37.744446)))"
4,1463111,EOL1ASARSAO1A1025197,0.2230485225648573,"MULTIPOLYGON (((-0.8977665599049151 37.049025165424, -1.58973459259773 37.1526744640823, -1.34967021853613 38.179810402137, -0.647506394990409 38.0759986809618, -0.8977665599049151 37.049025165424)), ((-0.97607 37.744446, -1.432794 37.811722, -1.328635 38.264248, -0.866958 38.196701, -0.97607 37.744446)))"
5,1463111,EOL1ASARSAO1A1025187,0.2874132885491165,"MULTIPOLYGON (((-0.7313324629774129 37.7338426993205, -1.43927985038132 37.838927981375, -1.21742477156436 38.780034745235, -0.499709211098567 38.6747767528818, -0.7313324629774129 37.7338426993205)), ((-0.97607 37.744446, -1.432794 37.811722, -1.328635 38.264248, -0.866958 38.196701, -0.97607 37.744446)))"
6,1596435,EOL1ASARSAO1A1160585,0.0,"MULTIPOLYGON (((-4.78358697014021 32.4321911850331, -5.95032089205799 32.6169856907482, -5.37074582773017 35.2553174940704, -4.16499739893666 35.0703978677171, -4.78358697014021 32.4321911850331)), ((-3.410555 36.906078, -3.865365 36.977055, -3.751611 37.434147, -3.307172 37.365185, -3.410555 36.906078)))"
7,1596435,EOL1ASARSAO1A1160419,0.0,"MULTIPOLYGON (((-4.3780477670768 34.2176228625246, -5.56037673839725 34.4007600501478, -5.12076605308313 36.3699953255048, -3.90747494744631 36.186479316441, -4.3780477670768 34.2176228625246)), ((-3.410555 36.906078, -3.865365 36.977055, -3.751611 37.434147, -3.307172 37.365185, -3.410555 36.906078)))"
8,1618857,EOL1ASARSAO1A1197737,0.0,"MULTIPOLYGON (((-3.8444679087751 35.8316336343335, -4.43694262491396 38.2445854427438, -3.18868573303326 38.4283610197879, -2.63777667044811 36.0148703841197, -3.8444679087751 35.8316336343335)), ((-4.67781 36.468403, -4.778935 36.924965, -4.273375 37.004913, -4.19427 36.545303, -4.67781 36.468403)))"
9,1644787,EOL1ASARSAO1A1245099,0.0,"MULTIPOLYGON (((-1.71169347470829 32.489041191214, -2.87885650314296 32.673791873804, -2.34848415596483 35.0900618390118, -1.14570274989592 34.905179760061, -1.71169347470829 32.489041191214)), ((-0.977447 37.745888, -1.434144 37.813076, -1.329953 38.267609, -0.867858 38.200047, -0.977447 37.745888)))"
10,1644787,EOL1ASARSAO1A1245067,0.0,"MULTIPOLYGON (((-1.30591972147204 34.2749551587, -2.48858201565679 34.4580768623979, -1.99847649712223 36.6494301749759, -0.781046350299651 36.4659960701725, -1.30591972147204 34.2749551587)), ((-0.977447 37.745888, -1.434144 37.813076, -1.329953 38.267609, -0.867858 38.200047, -0.977447 37.745888)))"
11,1651670,EOL1ASARSAO1A1256149,0.0,"MULTIPOLYGON (((-4.75395321726232 32.4210521501846, -5.92024253243145 32.6057393424978, -5.340715018053 35.2450673906226, -4.13544394958134 35.0602180962934, -4.75395321726232 32.4210521501846)), ((-3.414236 36.910057, -3.86967 36.980885, -3.757984 37.439865, -3.311164 37.370853, -3.414236 36.910057)))"
12,1651670,EOL1ASARSAO1A1256101,0.0,"MULTIPOLYGON (((-4.34843119622306 34.2072713345602, -5.53028474290129 34.3903974290713, -5.09100376748788 36.3590972683272, -3.87820500218941 36.1756846091616, -4.34843119622306 34.2072713345602)), ((-3.414236 36.910057, -3.86967 36.980885, -3.757984 37.439865, -3.311164 37.370853, -3.414236 36.910057)))"
13,1651670,EOL1ASARSAO1A1256104,0.0,"MULTIPOLYGON (((-4.34843119622306 34.2072713345602, -5.53028474290129 34.3903974290713, -5.09100376748788 36.3590972683272, -3.87820500218941 36.1756846091616, -4.34843119622306 34.2072713345602)), ((-3.414236 36.910057, -3.86967 36.980885, -3.757984 37.439865, -3.311164 37.370853, -3.414236 36.910057)))"
14,1655516,EOL1ASARSAO1A1268025,0.018885840186861496,"MULTIPOLYGON (((-5.30381195151331 35.6743730334334, -5.95094701186276 38.3108339611503, -4.6899030822983 38.4963737246133, -4.08849207131554 35.8592623786483, -5.30381195151331 35.6743730334334)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
15,1655516,EOL1ASARSAO1A1268116,0.018885840186861496,"MULTIPOLYGON (((-5.30381195151331 35.6743730334334, -5.95094701186276 38.3108339611503, -4.6899030822983 38.4963737246133, -4.08849207131554 35.8592623786483, -5.30381195151331 35.6743730334334)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
16,1655516,EOL1ASARSAO1A1268109,0.01925229412734375,"MULTIPOLYGON (((-4.88024508147851 33.8913136561044, -5.510597526817 36.5285540593633, -4.28110264119035 36.7135880499539, -3.69264907561668 34.0759954122421, -4.88024508147851 33.8913136561044)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
17,1655516,EOL1ASARSAO1A1268144,0.01925229412734375,"MULTIPOLYGON (((-4.88024508147851 33.8913136561044, -5.510597526817 36.5285540593633, -4.28110264119035 36.7135880499539, -3.69264907561668 34.0759954122421, -4.88024508147851 33.8913136561044)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
18,1677388,EOL1ASARSAO1A1342782,0.0,"MULTIPOLYGON (((-1.71043546533296 32.5351172897853, -2.8784489407796 32.7198588888083, -2.34803303793201 35.1354609764001, -1.14432812849888 34.950582299415, -1.71043546533296 32.5351172897853)), ((-0.985492 37.742096, -1.442412 37.809307, -1.337705 38.261585, -0.876566 38.194168, -0.985492 37.742096)))"
19,1677388,EOL1ASARSAO1A1342777,0.0,"MULTIPOLYGON (((-1.35691052867754 34.0985070547284, -2.53713844886909 34.2816209500211, -1.99780194984646 36.695254239384, -0.779402203779914 36.5118071582417, -1.35691052867754 34.0985070547284)), ((-0.985492 37.742096, -1.442412 37.809307, -1.337705 38.261585, -0.876566 38.194168, -0.985492 37.742096)))"
20,1685668,EOL1ASARSAO1A1363126,0.0,"MULTIPOLYGON (((-5.08674040990419 35.1012347025582, -5.80482507281029 35.2073081075333, -5.61806868323574 36.0633871720925, -4.89190105881891 35.9574051831884, -5.08674040990419 35.1012347025582)), ((-3.421764 36.908447, -3.876536 36.979218, -3.764744 37.438484, -3.320981 37.369816, -3.421764 36.908447)))"
21,1685668,EOL1ASARSAO1A1363141,0.0,"MULTIPOLYGON (((-5.08674040990419 35.1012347025582, -5.80482507281029 35.2073081075333, -5.61806868323574 36.0633871720925, -4.89190105881891 35.9574051831884, -5.08674040990419 35.1012347025582)), ((-3.421764 36.908447, -3.876536 36.979218, -3.764744 37.438484, -3.320981 37.369816, -3.421764 36.908447)))"
