,CSK,SAO,IoU,geometry
4,1463111,EOL1ASARSAO1A1025197,0.2230485225648573,"MULTIPOLYGON (((-0.8977665599049151 37.049025165424, -1.58973459259773 37.1526744640823, -1.34967021853613 38.179810402137, -0.647506394990409 38.0759986809618, -0.8977665599049151 37.049025165424)), ((-0.97607 37.744446, -1.432794 37.811722, -1.328635 38.264248, -0.866958 38.196701, -0.97607 37.744446)))"
5,1463111,EOL1ASARSAO1A1025187,0.2874132885491165,"MULTIPOLYGON (((-0.7313324629774129 37.7338426993205, -1.43927985038132 37.838927981375, -1.21742477156436 38.780034745235, -0.499709211098567 38.6747767528818, -0.7313324629774129 37.7338426993205)), ((-0.97607 37.744446, -1.432794 37.811722, -1.328635 38.264248, -0.866958 38.196701, -0.97607 37.744446)))"
14,1655516,EOL1ASARSAO1A1268025,0.018885840186861496,"MULTIPOLYGON (((-5.30381195151331 35.6743730334334, -5.95094701186276 38.3108339611503, -4.6899030822983 38.4963737246133, -4.08849207131554 35.8592623786483, -5.30381195151331 35.6743730334334)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
15,1655516,EOL1ASARSAO1A1268116,0.018885840186861496,"MULTIPOLYGON (((-5.30381195151331 35.6743730334334, -5.95094701186276 38.3108339611503, -4.6899030822983 38.4963737246133, -4.08849207131554 35.8592623786483, -5.30381195151331 35.6743730334334)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
16,1655516,EOL1ASARSAO1A1268109,0.01925229412734375,"MULTIPOLYGON (((-4.88024508147851 33.8913136561044, -5.510597526817 36.5285540593633, -4.28110264119035 36.7135880499539, -3.69264907561668 34.0759954122421, -4.88024508147851 33.8913136561044)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
17,1655516,EOL1ASARSAO1A1268144,0.01925229412734375,"MULTIPOLYGON (((-4.88024508147851 33.8913136561044, -5.510597526817 36.5285540593633, -4.28110264119035 36.7135880499539, -3.69264907561668 34.0759954122421, -4.88024508147851 33.8913136561044)), ((-5.67485 35.888248, -5.786499 36.34766, -5.337906 36.417679, -5.23151 35.957809, -5.67485 35.888248)))"
22,1689914,EOL1ASARSAO1A1371293,0.06047193771085611,"MULTIPOLYGON (((-1.17970434597961 37.3978583041759, -1.7869202445228 39.8092383943865, -0.498086110425027 39.9951608824446, 0.06392288576016129 37.5828876709816, -1.17970434597961 37.3978583041759)), ((-1.10103 37.372845, -1.203928 37.824173, -0.759178 37.890869, -0.65212 37.440582, -1.10103 37.372845)))"
23,1689914,EOL1ASARSAO1A1371279,0.06796309465600955,"MULTIPOLYGON (((-0.799320321190741 35.8381734749235, -1.39178232439809 38.2512251659268, -0.143328877680866 38.4350161487295, 0.407568685060693 36.0213577987162, -0.799320321190741 35.8381734749235)), ((-1.10103 37.372845, -1.203928 37.824173, -0.759178 37.890869, -0.65212 37.440582, -1.10103 37.372845)))"
24,1691328,EOL1ASARSAO1A1373885,0.02044179964620127,"MULTIPOLYGON (((-5.30413424761196 35.5805801062331, -5.95019377470323 38.216439593191, -4.69082470960309 38.4020298528699, -4.09024430514649 35.7654592894851, -5.30413424761196 35.5805801062331)), ((-5.68556 35.885708, -5.796791 36.343842, -5.348062 36.413754, -5.24219 35.955135, -5.68556 35.885708)))"
25,1691328,EOL1ASARSAO1A1373645,0.02272742416634208,"MULTIPOLYGON (((-4.93357817165793 34.0211465104415, -5.51068199672178 36.4349620404325, -4.29257873095116 36.6185878236595, -3.75355278547032 34.2044730752683, -4.93357817165793 34.0211465104415)), ((-5.68556 35.885708, -5.796791 36.343842, -5.348062 36.413754, -5.24219 35.955135, -5.68556 35.885708)))"
28,1732439,EOL1ASARSAO1A1531214,0.06168247967258606,"MULTIPOLYGON (((-1.14857611862708 37.3662658806469, -1.81255743192347 39.9999267078169, -0.550515346450848 40.1816669028553, 0.06506800087858509 37.547012496836, -1.14857611862708 37.3662658806469)), ((-1.09913 37.374557, -1.201868 37.825127, -0.756615 37.892017, -0.65022 37.442364, -1.09913 37.374557)))"
29,1732439,EOL1ASARSAO1A1531139,0.06897971057333538,"MULTIPOLYGON (((-0.775356022870702 35.8059584380005, -1.36741013447523 38.2181485137035, -0.138254909328965 38.3993472012379, 0.41293158926447 35.9865911390936, -0.775356022870702 35.8059584380005)), ((-1.09913 37.374557, -1.201868 37.825127, -0.756615 37.892017, -0.65022 37.442364, -1.09913 37.374557)))"
30,1733740,EOL1ASARSAO1A1529667,0.018036334487123162,"MULTIPOLYGON (((-5.31026074461054 35.694966912233, -5.95713735980037 38.3297725429745, -4.71886767406195 38.5120628820705, -4.1168718815557 35.8765369647123, -5.31026074461054 35.694966912233)), ((-5.68339 35.883751, -5.794465 36.340729, -5.345692 36.410786, -5.24008 35.953331, -5.68339 35.883751)))"
31,1733740,EOL1ASARSAO1A1529679,0.019407933176502964,"MULTIPOLYGON (((-4.89286479823055 33.9107463457926, -5.52357935206056 36.5479119558352, -4.32199037818442 36.7289001697813, -3.73226240125258 34.0913833522371, -4.89286479823055 33.9107463457926)), ((-5.68339 35.883751, -5.794465 36.340729, -5.345692 36.410786, -5.24008 35.953331, -5.68339 35.883751)))"
34,1770276,EOL1ASARSAO1A1623567,0.060326673496730245,"MULTIPOLYGON (((-1.18219246560063 37.3974863189494, -1.78968495132517 39.8086550053178, -0.500802994361616 39.9946504743103, 0.0614669218313758 37.5826547524842, -1.18219246560063 37.3974863189494)), ((-1.09498 37.37402, -1.198123 37.823746, -0.752815 37.890465, -0.64602 37.441654, -1.09498 37.37402)))"
35,1770276,EOL1ASARSAO1A1623613,0.06777283272186826,"MULTIPOLYGON (((-0.8018440926196611 35.8386292887587, -1.39462962844264 38.2517996342504, -0.146118665851845 38.4357070773323, 0.405101521565742 36.021928661982, -0.8018440926196611 35.8386292887587)), ((-1.09498 37.37402, -1.198123 37.823746, -0.752815 37.890465, -0.64602 37.441654, -1.09498 37.37402)))"
