,CSK,SEN,IoU,geometry
0,1265274,S1B_IW_SLC__1SDV_20191216T060229_20191216T060256_019386_0249E7_5FC1,0.0,"MULTIPOLYGON (((0.84283 33.782536, -1.921015 34.192032, -1.59628 35.814747, 1.224869 35.407162, 0.84283 33.782536)), ((-5.68572 35.887989, -5.796911 36.346012, -5.348222 36.416096, -5.24239 35.957619, -5.68572 35.887989)))"
1,1265274,S1B_IW_SLC__1SDV_20191216T060204_20191216T060231_019386_0249E7_EB03,0.0,"MULTIPOLYGON (((1.202977 35.275372, -1.617272 35.683838, -1.289522 37.30584, 1.592433 36.899029, 1.202977 35.275372)), ((-5.68572 35.887989, -5.796911 36.346012, -5.348222 36.416096, -5.24239 35.957619, -5.68572 35.887989)))"
2,1368915,S1B_IW_SLC__1SDV_20200625T060232_20200625T060259_022186_02A1B9_E6B5,0.0,"MULTIPOLYGON (((0.8428399999999999 33.782364, -1.920655 34.191776, -1.596043 35.814148, 1.224717 35.406651, 0.8428399999999999 33.782364)), ((-5.68076 35.887703, -5.792031 36.345978, -5.343159 36.41613, -5.23744 35.957367, -5.68076 35.887703)))"
3,1368915,S1B_IW_SLC__1SDV_20200625T060207_20200625T060234_022186_02A1B9_9E5B,0.0,"MULTIPOLYGON (((1.202855 35.274982, -1.617008 35.683361, -1.289233 37.305763, 1.592323 36.899044, 1.202855 35.274982)), ((-5.68076 35.887703, -5.792031 36.345978, -5.343159 36.41613, -5.23744 35.957367, -5.68076 35.887703)))"
4,1386789,S1A_IW_SLC__1SDV_20200717T181029_20200717T181056_033498_03E1B6_B326,0.0,"MULTIPOLYGON (((-4.269353 36.635002, -4.664773 38.255981, -1.795353 38.652328, -1.464213 37.032734, -4.269353 36.635002)), ((-0.979537 37.743217, -1.436234 37.81031, -1.331006 38.26614, -0.869816 38.198788, -0.979537 37.743217)))"
5,1386789,S1A_IW_SLC__1SDV_20200717T181004_20200717T181031_033498_03E1B6_4FD8,0.0,"MULTIPOLYGON (((-3.929177 35.139442, -4.317091 36.761414, -1.500067 37.160339, -1.172092 35.539993, -3.929177 35.139442)), ((-0.979537 37.743217, -1.436234 37.81031, -1.331006 38.26614, -0.869816 38.198788, -0.979537 37.743217)))"
6,1386789,S1A_IW_SLC__1SDV_20200717T180939_20200717T181006_033498_03E1B6_0788,0.0,"MULTIPOLYGON (((-3.565504 33.646782, -3.945775 35.268723, -1.189848 35.668056, -0.8651620000000001 34.047989, -3.565504 33.646782)), ((-0.979537 37.743217, -1.436234 37.81031, -1.331006 38.26614, -0.869816 38.198788, -0.979537 37.743217)))"
7,1392010,S1B_IW_SLC__1SDV_20200723T180932_20200723T181000_022602_02AE58_5137,0.04400145538815829,"MULTIPOLYGON (((-4.060848 35.748131, -4.465257 37.425755, -1.634322 37.822239, -1.293595 36.146194, -4.060848 35.748131)), ((-3.418555 36.909203, -3.873366 36.979813, -3.760367 37.436043, -3.316157 37.367504, -3.418555 36.909203)))"
8,1392010,S1B_IW_SLC__1SDV_20200723T180905_20200723T180935_022602_02AE58_A250,0.0,"MULTIPOLYGON (((-3.669283 34.086945, -4.09302 35.882298, -1.320795 36.280235, -0.9600690000000001 34.48685800000001, -3.669283 34.086945)), ((-3.418555 36.909203, -3.873366 36.979813, -3.760367 37.436043, -3.316157 37.367504, -3.418555 36.909203)))"
9,1404337,S1A_IW_SLC__1SDV_20200808T182615_20200808T182642_033819_03EBC6_7056,0.0,"MULTIPOLYGON (((-7.784869 34.066769, -8.167369000000001 35.689102, -5.389028 36.08913, -5.063429 34.468613, -7.784869 34.066769)), ((-3.425698 36.908047, -3.880925 36.978691, -3.771054 37.436054, -3.326571 37.367477, -3.425698 36.908047)))"
