,CSK,SEN,IoU,geometry
7,1392010,S1B_IW_SLC__1SDV_20200723T180932_20200723T181000_022602_02AE58_5137,0.04400145538815829,"MULTIPOLYGON (((-4.060848 35.748131, -4.465257 37.425755, -1.634322 37.822239, -1.293595 36.146194, -4.060848 35.748131)), ((-3.418555 36.909203, -3.873366 36.979813, -3.760367 37.436043, -3.316157 37.367504, -3.418555 36.909203)))"
12,1444014,S1B_IW_SLC__1SDV_20200909T180935_20200909T181003_023302_02C414_F629,0.043862877304072866,"MULTIPOLYGON (((-4.063425 35.748665, -4.467908 37.42627299999999, -1.636854 37.822845, -1.296059 36.146809, -4.063425 35.748665)), ((-3.410653 36.905857, -3.86201 36.975994, -3.747635 37.432213, -3.303137 37.363518, -3.410653 36.905857)))"
24,1651670,S1B_IW_SLC__1SDV_20201214T180935_20201214T181003_024702_02F019_1FED,0.044371380987393745,"MULTIPOLYGON (((-4.062588 35.748047, -4.467258999999999 37.426495, -1.635786 37.823067, -1.294857 36.14619099999999, -4.062588 35.748047)), ((-3.414236 36.910057, -3.86967 36.980885, -3.757984 37.439865, -3.311164 37.370853, -3.414236 36.910057)))"
33,1709852,S1B_IW_SLC__1SDV_20210131T180933_20210131T181000_025402_030687_7CBC,0.044016476767202495,"MULTIPOLYGON (((-4.063344 35.747337, -4.468137 37.426151, -1.636708 37.822762, -1.295669 36.145515, -4.063344 35.747337)), ((-3.415333 36.909069, -3.870832 36.979996, -3.757065 37.436291, -3.312895 37.367565, -3.415333 36.909069)))"
40,1766244,S1B_IW_SLC__1SDV_20210320T180932_20210320T181000_026102_031D58_9F83,0.04356701262245285,"MULTIPOLYGON (((-4.063042 35.747684, -4.467663 37.425766, -1.606884 37.82615999999999, -1.266632 36.149693, -4.063042 35.747684)), ((-3.410079 36.907101, -3.864909 36.977978, -3.751314 37.434284, -3.306838 37.365414, -3.410079 36.907101)))"
47,1858969,S1B_IW_SLC__1SDV_20210507T180934_20210507T181002_026802_0333A6_D8A5,0.04386193805159861,"MULTIPOLYGON (((-4.062255 35.747749, -4.466847 37.425987, -1.606452 37.826263, -1.266225 36.149639, -4.062255 35.747749)), ((-3.415794 36.909389, -3.871303 36.980324, -3.759696 37.438572, -3.312937 37.369385, -3.415794 36.909389)))"
49,1281464,S1B_IW_SLC__1SDV_20200206T180927_20200206T180954_020152_026258_07C7,0.04407971658212833,"MULTIPOLYGON (((-4.06315 35.748829, -4.467561 37.426167, -1.636154 37.822746, -1.295441 36.14698, -4.06315 35.748829)), ((-3.420715 36.910255, -3.875486 36.981091, -3.764364 37.437473, -3.318358 37.368431, -3.420715 36.910255)))"
58,1310601,S1B_IW_SLC__1SDV_20200325T180926_20200325T180954_020852_0278AC_8D0D,0.04390520090043706,"MULTIPOLYGON (((-4.062665 35.747879, -4.467189 37.425846, -1.635823 37.822426, -1.295003 36.146034, -4.062665 35.747879)), ((-3.419198 36.911015, -3.872532 36.981571, -3.762433 37.436775, -3.315661 37.367657, -3.419198 36.911015)))"
63,1341087,S1B_IW_SLC__1SDV_20200512T180928_20200512T180956_021552_028EB1_2686,0.044088949291241034,"MULTIPOLYGON (((-4.061223 35.746853, -4.465909 37.425331, -1.634938 37.82190300000001, -1.293966 36.145, -4.061223 35.746853)), ((-3.406965 36.907398, -3.863149 36.978687, -3.74812 37.434853, -3.303692 37.365791, -3.406965 36.907398)))"
75,1413056,S1B_IW_SLC__1SDV_20200816T180934_20200816T181002_022952_02B913_35BB,0.0441534492915062,"MULTIPOLYGON (((-4.062441000000001 35.747189, -4.467126 37.425785, -1.636036 37.82235, -1.295069 36.145329, -4.062441000000001 35.747189)), ((-3.413389 36.907516, -3.868289 36.978123, -3.754666 37.436138, -3.310448 37.367645, -3.413389 36.907516)))"
96,1675518,S1B_IW_SLC__1SDV_20210107T180933_20210107T181001_025052_02FB5F_8858,0.04425644546476872,"MULTIPOLYGON (((-4.063054 35.749065, -4.467466 37.426144, -1.636007 37.822796, -1.295285 36.147285, -4.063054 35.749065)), ((-3.415972 36.910046, -3.870824 36.980564, -3.760145 37.438465, -3.313304 37.369587, -3.415972 36.910046)))"
110,1799246,S1B_IW_SLC__1SDV_20210413T180933_20210413T181001_026452_032871_D100,0.04371841277415425,"MULTIPOLYGON (((-4.061893 35.747837, -4.466483 37.426071, -1.606073 37.826347, -1.265847 36.149727, -4.061893 35.747837)), ((-3.407177 36.908779, -3.863461 36.979691, -3.748838 37.436481, -3.303814 37.367638, -3.407177 36.908779)))"
116,1371575,S1A_IW_SLC__1SDV_20200628T181836_20200628T181903_033221_03D944_A6B0,0.025870846252386615,"MULTIPOLYGON (((-6.259258999999999 36.346954, -6.653066 37.967728, -3.792009 38.364815, -3.461647 36.74548, -6.259258999999999 36.346954)), ((-3.434017 36.942574, -3.871727 37.010746, -3.760106 37.469273, -3.310145 37.399567, -3.434017 36.942574)))"
121,1393051,S1A_IW_SLC__1SDV_20200724T180213_20200724T180241_033600_03E4DF_B8E1,0.043863791972893175,"MULTIPOLYGON (((-2.179209 36.471035, -2.587787 38.148579, 0.278303 38.545292, 0.6207630000000001 36.869194, -2.179209 36.471035)), ((-0.97058 37.746643, -1.42712 37.81395, -1.323116 38.266598, -0.861448 38.198925, -0.97058 37.746643)))"
125,1412321,S1A_IW_SLC__1SDV_20200815T181839_20200815T181906_033921_03EF53_76EF,0.02574735415040172,"MULTIPOLYGON (((-6.260193 36.347969, -6.65406 37.968987, -3.792919 38.366077, -3.462508 36.746498, -6.260193 36.347969)), ((-3.433312 36.940056, -3.870982 37.008347, -3.759571 37.466042, -3.308825 37.39608, -3.433312 36.940056)))"
130,1444941,S1A_IW_SLC__1SDV_20200910T180215_20200910T180243_034300_03FCA6_0C43,0.043965059186930694,"MULTIPOLYGON (((-2.180602 36.47184, -2.589308 38.149624, 0.27683 38.546391, 0.619401 36.870056, -2.180602 36.47184)), ((-0.978606 37.746613, -1.435203 37.814255, -1.331182 38.267887, -0.869406 38.199902, -0.978606 37.746613)))"
140,1614888,S1A_IW_SLC__1SDV_20201119T181841_20201119T181908_035321_042044_6C05,0.024745365643841385,"MULTIPOLYGON (((-6.261415 36.348392, -6.655319 37.969257, -3.793829 38.366421, -3.463401 36.74699, -6.261415 36.348392)), ((-3.422529 36.937817, -3.86394 37.006878, -3.747991 37.464119, -3.302458 37.394741, -3.422529 36.937817)))"
147,1674532,S1A_IW_SLC__1SDV_20210106T181839_20210106T181906_036021_043879_38FD,0.02465804336976851,"MULTIPOLYGON (((-6.260227 36.347786, -6.654142999999999 37.968643, -3.792616 38.365829, -3.462178 36.746403, -6.260227 36.347786)), ((-3.427388 36.94017, -3.86218 37.007828, -3.746281 37.465134, -3.299725 37.395954, -3.427388 36.94017)))"
154,1711455,S1A_IW_SLC__1SDV_20210201T180213_20210201T180241_036400_0445BB_91D1,0.04380585541573233,"MULTIPOLYGON (((-2.180852 36.47023, -2.589793 38.148846, 0.276807 38.545685, 0.61956 36.868515, -2.180852 36.47023)), ((-0.982456 37.748264, -1.439411 37.815807, -1.334947 38.268047, -0.873586 38.200268, -0.982456 37.748264)))"
158,1736794,S1A_IW_SLC__1SDV_20210223T181837_20210223T181904_036721_0450DB_F78D,0.024371337683707917,"MULTIPOLYGON (((-6.26016 36.347477, -6.654056 37.968472, -3.792580000000001 38.365612, -3.462159 36.746052, -6.26016 36.347477)), ((-3.418135 36.937469, -3.859567 37.006432, -3.742355 37.464233, -3.297192 37.395004, -3.418135 36.937469)))"
165,1767926,S1A_IW_SLC__1SDV_20210321T180212_20210321T180240_037100_045E1E_F04F,0.043441609229616214,"MULTIPOLYGON (((-2.180281 36.47076, -2.589028 38.148643, 0.303943 38.548817, 0.645939 36.872414, -2.180281 36.47076)), ((-0.979056 37.747688, -1.435674 37.815247, -1.331398 38.267845, -0.8700560000000001 38.199966, -0.979056 37.747688)))"
167,1797951,S1A_IW_SLC__1SDV_20210412T181838_20210412T181905_037421_046926_BEE1,0.029307960694787305,"MULTIPOLYGON (((-6.259367 36.34705, -6.653297999999999 37.968449, -3.767946 38.36855300000001, -3.438022 36.74862299999999, -6.259367 36.34705)), ((-3.438834 36.941948, -3.881331 37.010864, -3.772535 37.469494, -3.320585 37.39946, -3.438834 36.941948)))"
174,1861902,S1A_IW_SLC__1SDV_20210508T180214_20210508T180242_037800_04761D_85AD,0.04355896396229935,"MULTIPOLYGON (((-2.179305 36.47134, -2.587864 38.148762, 0.304759 38.548801, 0.6465920000000001 36.872864, -2.179305 36.47134)), ((-0.965982 37.745827, -1.422519 37.813282, -1.31898 38.266579, -0.856558 38.19862, -0.965982 37.745827)))"
