,CSK,SEN,IoU,geometry
0,1258530,S1A_IW_SLC__1SDV_20191203T171317_20191203T171344_030187_03732D_0400,0.0,"MULTIPOLYGON (((9.710464 38.294643, 9.304907 39.9142, 12.269352 40.312717, 12.60463 38.694229, 9.710464 38.294643)), ((13.3625 37.116646, 12.91213 37.18639, 13.21766 38.4244, 13.67554 38.35442, 13.3625 37.116646)))"
1,1258530,S1A_IW_SLC__1SDV_20191203T171252_20191203T171319_030187_03732D_2C8B,0.0,"MULTIPOLYGON (((10.076706 36.801208, 9.679733000000001 38.423054, 12.578835 38.82246, 12.910421 37.201973, 10.076706 36.801208)), ((13.3625 37.116646, 12.91213 37.18639, 13.21766 38.4244, 13.67554 38.35442, 13.3625 37.116646)))"
2,1258530,S1A_IW_SLC__1SDV_20191203T171227_20191203T171254_030187_03732D_10AF,1.1885726436648615e-07,"MULTIPOLYGON (((10.433399 35.307522, 10.044671 36.92926, 12.883787 37.32999, 13.211741 35.709869, 10.433399 35.307522)), ((13.3625 37.116646, 12.91213 37.18639, 13.21766 38.4244, 13.67554 38.35442, 13.3625 37.116646)))"
3,1269638,S1B_IW_SLC__1SDV_20200104T165554_20200104T165621_019670_0252D8_AA79,0.0,"MULTIPOLYGON (((13.994147 37.536018, 13.592853 39.15591, 16.567234 39.560658, 16.899797 37.94200900000001, 13.994147 37.536018)), ((13.34507 37.11842, 12.89477 37.188454, 13.19937 38.422798, 13.65719 38.352642, 13.34507 37.11842)))"
4,1269638,S1B_IW_SLC__1SDV_20200104T165529_20200104T165556_019670_0252D8_705E,0.0,"MULTIPOLYGON (((14.351544 36.041351, 13.958164 37.664005, 16.870985 38.070244, 17.200336 36.449108, 14.351544 36.041351)), ((13.34507 37.11842, 12.89477 37.188454, 13.19937 38.422798, 13.65719 38.352642, 13.34507 37.11842)))"
5,1274550,S1A_IW_SLC__1SDV_20200120T171315_20200120T171342_030887_038B77_2A76,0.0,"MULTIPOLYGON (((9.710526 38.294422, 9.304866000000001 39.914471, 12.269402 40.312988, 12.604764 38.694008, 9.710526 38.294422)), ((13.347 37.121883, 12.8967 37.192039, 13.19639 38.406631, 13.65409 38.336361, 13.347 37.121883)))"
6,1274550,S1A_IW_SLC__1SDV_20200120T171250_20200120T171317_030887_038B77_FA37,2.639234192058409e-05,"MULTIPOLYGON (((10.07649 36.802101, 9.679777 38.422958, 12.57895 38.822365, 12.910319 37.202869, 10.07649 36.802101)), ((13.347 37.121883, 12.8967 37.192039, 13.19639 38.406631, 13.65409 38.336361, 13.347 37.121883)))"
7,1274550,S1A_IW_SLC__1SDV_20200120T171226_20200120T171252_030887_038B77_9900,5.1559813110419814e-05,"MULTIPOLYGON (((10.433191 35.308292, 10.044507 36.929909, 12.883732 37.330635, 13.211646 35.710644, 10.433191 35.308292)), ((13.347 37.121883, 12.8967 37.192039, 13.19639 38.406631, 13.65409 38.336361, 13.347 37.121883)))"
8,1290116,S1B_IW_SLC__1SDV_20200221T165553_20200221T165620_020370_026955_1F42,0.0,"MULTIPOLYGON (((13.994672 37.535114, 13.593259 39.155762, 16.567528 39.560444, 16.900188 37.941044, 13.994672 37.535114)), ((13.35794 37.114838, 12.90763 37.184746, 13.21266 38.420593, 13.67049 38.350536, 13.35794 37.114838)))"
9,1290116,S1B_IW_SLC__1SDV_20200221T165528_20200221T165555_020370_026955_98A7,0.0,"MULTIPOLYGON (((14.351945 36.04068400000001, 13.958568 37.663597, 16.871277 38.069771, 17.200626 36.44838, 14.351945 36.04068400000001)), ((13.35794 37.114838, 12.90763 37.184746, 13.21266 38.420593, 13.67049 38.350536, 13.35794 37.114838)))"
