,CSK,SEN,IoU,geometry
2,1258530,S1A_IW_SLC__1SDV_20191203T171227_20191203T171254_030187_03732D_10AF,1.1885726436648615e-07,"MULTIPOLYGON (((10.433399 35.307522, 10.044671 36.92926, 12.883787 37.32999, 13.211741 35.709869, 10.433399 35.307522)), ((13.3625 37.116646, 12.91213 37.18639, 13.21766 38.4244, 13.67554 38.35442, 13.3625 37.116646)))"
6,1274550,S1A_IW_SLC__1SDV_20200120T171250_20200120T171317_030887_038B77_FA37,2.639234192058409e-05,"MULTIPOLYGON (((10.07649 36.802101, 9.679777 38.422958, 12.57895 38.822365, 12.910319 37.202869, 10.07649 36.802101)), ((13.347 37.121883, 12.8967 37.192039, 13.19639 38.406631, 13.65409 38.336361, 13.347 37.121883)))"
7,1274550,S1A_IW_SLC__1SDV_20200120T171226_20200120T171252_030887_038B77_9900,5.1559813110419814e-05,"MULTIPOLYGON (((10.433191 35.308292, 10.044507 36.929909, 12.883732 37.330635, 13.211646 35.710644, 10.433191 35.308292)), ((13.347 37.121883, 12.8967 37.192039, 13.19639 38.406631, 13.65409 38.336361, 13.347 37.121883)))"
10,1293433,S1B_IW_SLC__1SDV_20200226T170358_20200226T170424_020443_026BB9_8795,0.09322355358289607,"MULTIPOLYGON (((12.046893 37.081856, 11.675085 38.594311, 14.567926 38.992378, 14.878364 37.481106, 12.046893 37.081856)), ((13.77309 37.021587, 13.31797 37.088131, 13.58184 38.233471, 14.04399 38.16692, 13.77309 37.021587)))"
11,1293433,S1B_IW_SLC__1SDV_20200226T170334_20200226T170401_020443_026BB9_DA40,0.03573526277839041,"MULTIPOLYGON (((12.406729 35.588032, 12.016148 37.209858, 14.852398 37.60895900000001, 15.181659 35.988663, 12.406729 35.588032)), ((13.77309 37.021587, 13.31797 37.088131, 13.58184 38.233471, 14.04399 38.16692, 13.77309 37.021587)))"
14,1324627,S1B_IW_SLC__1SDV_20200414T170400_20200414T170425_021143_0281E4_4F25,0.0944298571931625,"MULTIPOLYGON (((12.047077 37.081371, 11.67531 38.593727, 14.567651 38.991745, 14.878071 37.480576, 12.047077 37.081371)), ((13.78633 37.049419, 13.33111 37.116268, 13.59086 38.242889, 14.05298 38.175949, 13.78633 37.049419)))"
15,1324627,S1B_IW_SLC__1SDV_20200414T170335_20200414T170402_021143_0281E4_B860,0.03314062777532362,"MULTIPOLYGON (((12.406815 35.587643, 12.016302 37.209248, 14.852241 37.60832199999999, 15.181457 35.988251, 12.406815 35.587643)), ((13.78633 37.049419, 13.33111 37.116268, 13.59086 38.242889, 14.05298 38.175949, 13.78633 37.049419)))"
18,1357156,S1B_IW_SLC__1SDV_20200601T170402_20200601T170427_021843_029752_78B8,0.09248698413808996,"MULTIPOLYGON (((12.047658 37.08057, 11.675776 38.593544, 14.568181 38.991531, 14.878693 37.479748, 12.047658 37.08057)), ((13.77873 37.048397, 13.32343 37.114876, 13.57856 38.222382, 14.04068 38.15596, 13.77873 37.048397)))"
19,1357156,S1B_IW_SLC__1SDV_20200601T170337_20200601T170404_021843_029752_981C,0.03315387368155254,"MULTIPOLYGON (((12.407207 35.58746, 12.016822 37.20869099999999, 14.852739 37.607731, 15.181846 35.988029, 12.407207 35.58746)), ((13.77873 37.048397, 13.32343 37.114876, 13.57856 38.222382, 14.04068 38.15596, 13.77873 37.048397)))"
23,1388973,S1B_IW_SLC__1SDV_20200719T170405_20200719T170430_022543_02AC8C_5E57,0.0954709016194151,"MULTIPOLYGON (((12.048685 37.081413, 11.676801 38.594521, 14.569178 38.992455, 14.879684 37.480537, 12.048685 37.081413)), ((13.77845 37.041832, 13.32319 37.108303, 13.58683 38.252552, 14.04913 38.1861, 13.77845 37.041832)))"
24,1388973,S1B_IW_SLC__1SDV_20200719T170340_20200719T170407_022543_02AC8C_F637,0.0337431404159149,"MULTIPOLYGON (((12.408278 35.588177, 12.017922 37.209419, 14.853855 37.608414, 15.182927 35.988705, 12.408278 35.588177)), ((13.77845 37.041832, 13.32319 37.108303, 13.58683 38.252552, 14.04913 38.1861, 13.77845 37.041832)))"
26,1399571,S1A_IW_SLC__1SDV_20200730T171256_20200730T171323_033687_03E77E_5D86,4.772166813648071e-07,"MULTIPOLYGON (((10.077238 36.800762, 9.680392999999999 38.422523, 12.579098 38.82182299999999, 12.91059 37.201427, 10.077238 36.800762)), ((13.35911 37.133865, 12.90866 37.20369, 13.2044 38.401955, 13.66213 38.331947, 13.35911 37.133865)))"
27,1399571,S1A_IW_SLC__1SDV_20200730T171232_20200730T171259_033687_03E77E_A89C,1.1654132078965366e-07,"MULTIPOLYGON (((10.433674 35.307789, 10.045065 36.92944, 12.883802 37.33005900000001, 13.211667 35.71003, 10.433674 35.307789)), ((13.35911 37.133865, 12.90866 37.20369, 13.2044 38.401955, 13.66213 38.331947, 13.35911 37.133865)))"
33,1545679,S1B_IW_SLC__1SDV_20201023T170408_20201023T170433_023943_02D81C_3AE1,0.09391041740197832,"MULTIPOLYGON (((12.046895 37.08152, 11.674868 38.594719, 14.567597 38.992805, 14.878223 37.480793, 12.046895 37.08152)), ((13.77082 37.026752, 13.31573 37.093563, 13.57973 38.239178, 14.04186 38.172375, 13.77082 37.026752)))"
34,1545679,S1B_IW_SLC__1SDV_20201023T170343_20201023T170410_023943_02D81C_FF3C,0.0351790995099648,"MULTIPOLYGON (((12.406688 35.587948, 12.016039 37.209896, 14.852315 37.609035, 15.181635 35.988613, 12.406688 35.587948)), ((13.77082 37.026752, 13.31573 37.093563, 13.57973 38.239178, 14.04186 38.172375, 13.77082 37.026752)))"
36,1574238,S1A_IW_SLC__1SDV_20201103T171259_20201103T171326_035087_041825_360D,1.2172032858281743e-06,"MULTIPOLYGON (((10.07706 36.801437, 9.680387 38.422302, 12.579426 38.821659, 12.91076 37.20215200000001, 10.07706 36.801437)), ((13.34997 37.097214, 12.89982 37.16737, 13.20983 38.423409, 13.66762 38.35313, 13.34997 37.097214)))"
37,1574238,S1A_IW_SLC__1SDV_20201103T171234_20201103T171301_035087_041825_C459,6.72240565757883e-05,"MULTIPOLYGON (((10.433764 35.307495, 10.045031 36.929493, 12.88413 37.33017, 13.212087 35.709793, 10.433764 35.307495)), ((13.34997 37.097214, 12.89982 37.16737, 13.20983 38.423409, 13.66762 38.35313, 13.34997 37.097214)))"
40,1648226,S1B_IW_SLC__1SDV_20201210T170407_20201210T170432_024643_02EE32_5F2C,0.09938304803725899,"MULTIPOLYGON (((12.046979 37.081318, 11.675091 38.594013, 14.567939 38.992092, 14.878442 37.480583, 12.046979 37.081318)), ((13.77626 37.024021, 13.32113 37.090611, 13.59796 38.292175, 14.06049 38.225643, 13.77626 37.024021)))"
41,1648226,S1B_IW_SLC__1SDV_20201210T170342_20201210T170409_024643_02EE32_B2A1,0.03529914453990766,"MULTIPOLYGON (((12.406711 35.587868, 12.016197 37.20931599999999, 14.8526 37.608452, 15.181798 35.988533, 12.406711 35.587868)), ((13.77626 37.024021, 13.32113 37.090611, 13.59796 38.292175, 14.06049 38.225643, 13.77626 37.024021)))"
43,1660542,S1A_IW_SLC__1SDV_20201221T171258_20201221T171325_035787_04305B_3E0A,0.019442988983193476,"MULTIPOLYGON (((10.076162 36.801514, 9.679305000000001 38.422863, 12.578413 38.822281, 12.909906 37.20229, 10.076162 36.801514)), ((13.02703 37.333031, 12.57838 37.400887, 12.85002 38.525589, 13.30553 38.457596, 13.02703 37.333031)))"
49,1762255,S1B_IW_SLC__1SDV_20210316T170404_20210316T170431_026043_031B74_81C7,0.09053317201364564,"MULTIPOLYGON (((12.045919 37.080738, 11.647141 38.70155, 14.558521 39.101311, 14.891045 37.481773, 12.045919 37.080738)), ((13.77533 37.008339, 13.32032 37.074989, 13.59674 38.274246, 14.05911 38.207535, 13.77533 37.008339)))"
