,CSK,SAO,IoU,geometry
0,1419538,EOL1ASARSAO1A1231771,0.0,"MULTIPOLYGON (((9.092048085163871 39.7812372591185, 8.89106549930681 40.6494884431784, 9.47542562160741 40.7258585321845, 9.668716040337589 39.8576636805595, 9.092048085163871 39.7812372591185)), ((8.1554 38.548347, 7.85942 39.75021, 8.32718 39.817009, 8.615259999999999 38.615162, 8.1554 38.548347)))"
1,1527384,EOL1ASARSAO1A1180265,0.0,"MULTIPOLYGON (((8.939535048143011 40.581931997003, 8.67213678359351 41.6171510728904, 9.40999252842057 41.7211118334226, 9.665211971874299 40.6855957375306, 8.939535048143011 40.581931997003)), ((8.81537 38.679508, 8.13931 41.249088, 8.616759999999999 41.319286, 9.27538 38.749222, 8.81537 38.679508)))"
2,1527384,EOL1ASARSAO1A1180565,0.0,"MULTIPOLYGON (((9.08455228982074 39.9656015659049, 8.81987912234772 41.0010804867654, 9.561946060521359 41.1065315152137, 9.814613421131289 40.0707917593841, 9.08455228982074 39.9656015659049)), ((8.81537 38.679508, 8.13931 41.249088, 8.616759999999999 41.319286, 9.27538 38.749222, 8.81537 38.679508)))"
3,1527384,EOL1ASARSAO1A1180367,0.0,"MULTIPOLYGON (((9.23161270302568 39.3820174183766, 8.96958260093667 40.4178194926992, 9.694831282907691 40.5217176563384, 9.94536141532487 39.4856415150448, 9.23161270302568 39.3820174183766)), ((8.81537 38.679508, 8.13931 41.249088, 8.616759999999999 41.319286, 9.27538 38.749222, 8.81537 38.679508)))"
4,1527384,EOL1ASARSAO1A1180211,0.0,"MULTIPOLYGON (((9.385028661757479 38.7669688958692, 9.12556560273692 39.8034407074903, 9.84391746901033 39.907194269575, 10.0922188777976 38.8704612320989, 9.385028661757479 38.7669688958692)), ((8.81537 38.679508, 8.13931 41.249088, 8.616759999999999 41.319286, 9.27538 38.749222, 8.81537 38.679508)))"
5,1527384,EOL1ASARSAO1A1180212,0.0,"MULTIPOLYGON (((9.4732121703512 38.4106201746068, 9.21512679171663 39.447718466236, 9.929580831040269 39.5513904530908, 10.1766931594856 38.5140359039474, 9.4732121703512 38.4106201746068)), ((8.81537 38.679508, 8.13931 41.249088, 8.616759999999999 41.319286, 9.27538 38.749222, 8.81537 38.679508)))"
6,1534730,EOL1ASARSAO1A1198795,0.315629509190256,"MULTIPOLYGON (((8.85861642302531 39.7961046980433, 8.12907592854784 39.9014946995418, 8.38255229789165 40.9429168995338, 9.12408273351968 40.8372493538586, 8.85861642302531 39.7961046980433)), ((8.36454 38.760799, 7.90339 38.827919, 8.56568 41.549614, 9.043585999999999 41.482548, 8.36454 38.760799)))"
7,1534730,EOL1ASARSAO1A1198827,0.3281835200141596,"MULTIPOLYGON (((8.983754114483199 40.3354672969666, 8.259418440809091 40.4393108228179, 8.523457318820929 41.5142313432936, 9.260299551596569 41.4100159249409, 8.983754114483199 40.3354672969666)), ((8.36454 38.760799, 7.90339 38.827919, 8.56568 41.549614, 9.043585999999999 41.482548, 8.36454 38.760799)))"
8,1598374,EOL1ASARSAO1A1169801,0.0,"MULTIPOLYGON (((8.11420898473547 40.6857843347002, 7.86558340778841 41.6930074134332, 8.65224018050386 41.7985280175087, 8.8883585209544 40.7912143202432, 8.11420898473547 40.6857843347002)), ((8.17426 38.530571, 7.86571 39.783592, 8.333769999999999 39.850079, 8.63409 38.597034, 8.17426 38.530571)))"
9,1598374,EOL1ASARSAO1A1169668,0.0,"MULTIPOLYGON (((8.24287620429163 40.113024921091, 7.99633655616798 41.1206677140642, 8.78648119637732 41.2276039167653, 9.020692656282289 40.2198785475412, 8.24287620429163 40.113024921091)), ((8.17426 38.530571, 7.86571 39.783592, 8.333769999999999 39.850079, 8.63409 38.597034, 8.17426 38.530571)))"
