,CSK,SAO,IoU,geometry
6,1534730,EOL1ASARSAO1A1198795,0.315629509190256,"MULTIPOLYGON (((8.85861642302531 39.7961046980433, 8.12907592854784 39.9014946995418, 8.38255229789165 40.9429168995338, 9.12408273351968 40.8372493538586, 8.85861642302531 39.7961046980433)), ((8.36454 38.760799, 7.90339 38.827919, 8.56568 41.549614, 9.043585999999999 41.482548, 8.36454 38.760799)))"
7,1534730,EOL1ASARSAO1A1198827,0.3281835200141596,"MULTIPOLYGON (((8.983754114483199 40.3354672969666, 8.259418440809091 40.4393108228179, 8.523457318820929 41.5142313432936, 9.260299551596569 41.4100159249409, 8.983754114483199 40.3354672969666)), ((8.36454 38.760799, 7.90339 38.827919, 8.56568 41.549614, 9.043585999999999 41.482548, 8.36454 38.760799)))"
10,1598374,EOL1ASARSAO1A1170243,0.001271523304250298,"MULTIPOLYGON (((8.3322088070645 39.7437526749541, 7.84638402381542 41.7253234148357, 8.644226607117391 41.832330055748, 9.10566596234162 39.8505641134232, 8.3322088070645 39.7437526749541)), ((8.17426 38.530571, 7.86571 39.783592, 8.333769999999999 39.850079, 8.63409 38.597034, 8.17426 38.530571)))"
11,1598374,EOL1ASARSAO1A1169980,0.005912853913460952,"MULTIPOLYGON (((8.380824724674151 39.5419016107527, 8.13649764744085 40.5498566364667, 8.91958743568401 40.6567228091036, 9.15192421182361 39.6487257798471, 8.380824724674151 39.5419016107527)), ((8.17426 38.530571, 7.86571 39.783592, 8.333769999999999 39.850079, 8.63409 38.597034, 8.17426 38.530571)))"
12,1598374,EOL1ASARSAO1A1169669,0.01806119996276076,"MULTIPOLYGON (((8.52544844476105 38.9376488139733, 8.28349504725805 39.9453986334462, 9.049943977550649 40.0509678171412, 9.280405557761039 39.0431876293838, 8.52544844476105 38.9376488139733)), ((8.17426 38.530571, 7.86571 39.783592, 8.333769999999999 39.850079, 8.63409 38.597034, 8.17426 38.530571)))"
13,1598374,EOL1ASARSAO1A1169649,0.016994624265317303,"MULTIPOLYGON (((8.645252861212949 38.4328744433568, 8.40503621216852 39.441121047692, 9.165664849838221 39.546664508164, 9.394670708132841 38.5383875862937, 8.645252861212949 38.4328744433568)), ((8.17426 38.530571, 7.86571 39.783592, 8.333769999999999 39.850079, 8.63409 38.597034, 8.17426 38.530571)))"
14,1643704,EOL1ASARSAO1A1240108,0.3118599405058624,"MULTIPOLYGON (((8.721019470831971 39.1913934102965, 7.99833756099158 39.2965583852623, 8.252922683465981 40.3528647407139, 8.987414581423961 40.2474505848227, 8.721019470831971 39.1913934102965)), ((8.36917 38.747475, 7.908061 38.814384, 8.58447 41.594261, 9.059834 41.527946, 8.36917 38.747475)))"
15,1643704,EOL1ASARSAO1A1240050,0.3071047340324485,"MULTIPOLYGON (((8.86765275522211 39.8212799870688, 8.149256757463171 39.9249536935388, 8.39808717383896 40.9473041176651, 9.12807692689503 40.8433477522183, 8.86765275522211 39.8212799870688)), ((8.36917 38.747475, 7.908061 38.814384, 8.58447 41.594261, 9.059834 41.527946, 8.36917 38.747475)))"
16,1643704,EOL1ASARSAO1A1240057,0.31637878078169557,"MULTIPOLYGON (((9.001413966578101 40.3485461799504, 8.27710338439603 40.4523347533669, 8.536201610280189 41.507347674338, 9.27280184550979 41.4032371243872, 9.001413966578101 40.3485461799504)), ((8.36917 38.747475, 7.908061 38.814384, 8.58447 41.594261, 9.059834 41.527946, 8.36917 38.747475)))"
17,1643704,EOL1ASARSAO1A1240059,0.1954056844051559,"MULTIPOLYGON (((9.11102191229738 40.7769845584539, 8.381797142559551 40.8808975927012, 8.64279964827676 41.9359855876469, 9.38458269648129 41.8317465729553, 9.11102191229738 40.7769845584539)), ((8.36917 38.747475, 7.908061 38.814384, 8.58447 41.594261, 9.059834 41.527946, 8.36917 38.747475)))"
20,1652334,EOL1ASARSAO1A1257354,0.10112007615063652,"MULTIPOLYGON (((7.72010161941914 39.4856800471454, 7.44853452885152 40.5572817880031, 8.1855097561413 40.6626033239413, 8.44494043702389 39.5907156522309, 7.72010161941914 39.4856800471454)), ((8.17459 38.535412, 7.86698 39.785084, 8.334989999999999 39.851814, 8.63439 38.602119, 8.17459 38.535412)))"
21,1652334,EOL1ASARSAO1A1257516,0.4319405320745324,"MULTIPOLYGON (((7.8711096126923 38.881147886126, 7.60240386493063 39.952586941247, 8.322543507368399 40.0563438206015, 8.5796280322394 38.9846587142344, 7.8711096126923 38.881147886126)), ((8.17459 38.535412, 7.86698 39.785084, 8.334989999999999 39.851814, 8.63439 38.602119, 8.17459 38.535412)))"
22,1652334,EOL1ASARSAO1A1257235,0.45034169188115697,"MULTIPOLYGON (((8.0072443464488 38.3309391501723, 7.74082764505611 39.403064926009, 8.45492709115948 39.5067032241378, 8.710027567789609 38.4343465651432, 8.0072443464488 38.3309391501723)), ((8.17459 38.535412, 7.86698 39.785084, 8.334989999999999 39.851814, 8.63439 38.602119, 8.17459 38.535412)))"
