,CSK,SEN,IoU,geometry
0,1266960,S1A_IW_SLC__1SDV_20191220T172213_20191220T172240_030435_037BBC_9C4D,0.03579286843422417,"MULTIPOLYGON (((7.003394999999999 40.882362, 6.579936999999999 42.500927, 9.666861000000001 42.898136, 10.010503 41.280079, 7.003394999999999 40.882362)), ((8.94736 41.096809, 8.47025 41.163921, 8.563330000000001 41.53936, 9.04156 41.472401, 8.94736 41.096809)))"
1,1266960,S1A_IW_SLC__1SDV_20191220T172147_20191220T172215_030435_037BBC_BC52,0.010662050280397193,"MULTIPOLYGON (((7.395967 39.333492, 6.968605999999999 41.01075, 9.982494000000001 41.408535, 10.333159 39.732155, 7.395967 39.333492)), ((8.94736 41.096809, 8.47025 41.163921, 8.563330000000001 41.53936, 9.04156 41.472401, 8.94736 41.096809)))"
3,1281788,S1A_IW_SLC__1SDV_20200206T172211_20200206T172238_031135_039421_68EE,0.031681371294710936,"MULTIPOLYGON (((7.004536 40.882133, 6.580964999999999 42.50145300000001, 9.667799 42.898575, 10.011525 41.279762, 7.004536 40.882133)), ((8.368639999999999 38.752247, 7.90755 38.819378, 8.5693 41.540112, 9.047463 41.472851, 8.368639999999999 38.752247)))"
4,1281788,S1A_IW_SLC__1SDV_20200206T172146_20200206T172214_031135_039421_5D58,0.15581009210288285,"MULTIPOLYGON (((7.397003999999999 39.333374, 6.969757 41.010525, 9.983523 41.40822199999999, 10.33409 39.731953, 7.397003999999999 39.333374)), ((8.368639999999999 38.752247, 7.90755 38.819378, 8.5693 41.540112, 9.047463 41.472851, 8.368639999999999 38.752247)))"
5,1281788,S1A_IW_SLC__1SDV_20200206T172121_20200206T172148_031135_039421_A65E,0.06689794213386333,"MULTIPOLYGON (((7.762241 37.840691, 7.359364999999999 39.460907, 10.304366 39.859829, 10.638473 38.240765, 7.762241 37.840691)), ((8.368639999999999 38.752247, 7.90755 38.819378, 8.5693 41.540112, 9.047463 41.472851, 8.368639999999999 38.752247)))"
6,1311179,S1A_IW_SLC__1SDV_20200325T172211_20200325T172238_031835_03AC73_4E34,0.03344245409662176,"MULTIPOLYGON (((7.004503999999999 40.881866, 6.580903999999999 42.50145, 9.667579 42.898544, 10.011339 41.279476, 7.004503999999999 40.881866)), ((8.36824 38.778858, 7.90697 38.845974, 8.56785 41.56065, 9.045268999999999 41.493755, 8.36824 38.778858)))"
7,1311179,S1A_IW_SLC__1SDV_20200325T172145_20200325T172213_031835_03AC73_0E5B,0.15573142494659725,"MULTIPOLYGON (((7.397003 39.332848, 6.969697999999999 41.01038, 9.983314999999999 41.408058, 10.333941 39.731411, 7.397003 39.332848)), ((8.36824 38.778858, 7.90697 38.845974, 8.56785 41.56065, 9.045268999999999 41.493755, 8.36824 38.778858)))"
8,1311179,S1A_IW_SLC__1SDV_20200325T172121_20200325T172148_031835_03AC73_69A0,0.06445678822268966,"MULTIPOLYGON (((7.762239 37.840031, 7.359336999999999 39.46051, 10.304267 39.859421, 10.638406 38.240101, 7.762239 37.840031)), ((8.36824 38.778858, 7.90697 38.845974, 8.56785 41.56065, 9.045268999999999 41.493755, 8.36824 38.778858)))"
9,1341805,S1A_IW_SLC__1SDV_20200512T172213_20200512T172240_032535_03C4A6_CC8B,0.033413288095159206,"MULTIPOLYGON (((7.005464 40.88081, 6.582084 42.499416, 9.668303 42.896519, 10.011904 41.278423, 7.005464 40.88081)), ((8.37128 38.758633, 7.91011 38.825596, 8.575900000000001 41.560375, 9.053706999999999 41.493385, 8.37128 38.758633)))"
10,1341805,S1A_IW_SLC__1SDV_20200512T172147_20200512T172215_032535_03C4A6_C2FA,0.15555548258903956,"MULTIPOLYGON (((7.397933999999999 39.331894, 6.970586 41.009441, 9.983829 41.407127, 10.334507 39.730461, 7.397933999999999 39.331894)), ((8.37128 38.758633, 7.91011 38.825596, 8.575900000000001 41.560375, 9.053706999999999 41.493385, 8.37128 38.758633)))"
