id;satellite;sensor;mode;acquisition start;acquisition stop;orbit;orbit direction;polarisation mode;elevation angle;incidence angle;number of frames;interferometric stack id;Geo Bas Perp;Geo Bas Parallel;cloud percent;off nadir angle;sun elevation angle;area square kilometers;AoI coverage;footprint
1257747;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2019-12-02 at 16:45:12 UTC;2019-12-02 at 16:45:29 UTC;67554;DESCENDING;HH;N/A;0.0339355;3;N/A;N/A;N/A;N/A;N/A;N/A;4622.0;4185641085430660%;POLYGON((17.310631 41.171963,17.07169 40.178596,17.54677 40.112141,17.79281 41.105522,17.310631 41.171963))
1259016;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-03;2019-12-05 at 04:15:11 UTC;2019-12-05 at 04:15:19 UTC;67591;ASCENDING;HH;N/A;0.029318;1;N/A;N/A;N/A;N/A;N/A;N/A;2062.4;0.13386535015646703%;POLYGON((20.137381 39.477367,20.027843 39.926933,19.561211 39.858597,19.675739 39.409382,20.137381 39.477367))
1265335;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-01;2019-12-16 at 04:21:20 UTC;2019-12-16 at 04:21:44 UTC;67754;ASCENDING;HH;N/A;0.0266005;4;N/A;N/A;N/A;N/A;N/A;N/A;6812.4;5880490738261720%;POLYGON((18.185579 39.604324,17.805849 41.079124,17.33016 41.008846,17.720051 39.534321,18.185579 39.604324))
1266369;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2019-12-18 at 16:45:14 UTC;2019-12-18 at 16:45:30 UTC;67791;DESCENDING;HH;N/A;0.033933500000000005;3;N/A;N/A;N/A;N/A;N/A;N/A;4624.5;4155306356148730%;POLYGON((17.2992 41.174686,17.060129 40.180786,17.535191 40.114166,17.781361 41.108074,17.2992 41.174686))
1266886;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-03;2019-12-21 at 04:15:40 UTC;2019-12-21 at 04:15:47 UTC;67828;ASCENDING;HH;N/A;0.029322;1;N/A;N/A;N/A;N/A;N/A;N/A;2065.8;0.8571557495780843%;POLYGON((19.720514 41.152428,19.602667 41.600574,19.125441 41.532284,19.243299 41.083691,19.720514 41.152428))
1268049;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-01;2019-12-27 at 04:27:02 UTC;2019-12-27 at 04:28:07 UTC;67917;ASCENDING;HH;N/A;0.0266255;11;N/A;N/A;N/A;N/A;N/A;N/A;18221.0;3273313185715880%;POLYGON((17.007139 38.224171,15.993909 42.167473,15.51021 42.097061,16.55044 38.154476,17.007139 38.224171))
1268258;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2019-12-29 at 16:51:03 UTC;2019-12-29 at 16:51:47 UTC;67954;DESCENDING;HH;N/A;0.033923499999999995;8;N/A;N/A;N/A;N/A;N/A;N/A;12392.1;36543960691101700%;POLYGON((16.002951 42.11282,15.36127 39.449783,15.83134 39.383198,16.492109 42.046097,16.002951 42.11282))
1269398;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2020-01-03 at 16:45:14 UTC;2020-01-03 at 16:45:30 UTC;68028;DESCENDING;HH;N/A;0.0339355;3;N/A;N/A;N/A;N/A;N/A;N/A;4457.9;4096366075738230%;POLYGON((17.29097 41.168205,17.06049 40.210052,17.535749 40.143448,17.773069 41.101551,17.29097 41.168205))
1269756;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-03;2020-01-06 at 04:15:40 UTC;2020-01-06 at 04:15:47 UTC;68065;ASCENDING;HH;N/A;0.0293215;1;N/A;N/A;N/A;N/A;N/A;N/A;1889.4;0.78575957250166%;POLYGON((19.710163 41.176895,19.601215 41.586231,19.1241 41.518021,19.231791 41.10815,19.710163 41.176895))
1273045;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-01;2020-01-17 at 04:21:19 UTC;2020-01-17 at 04:21:43 UTC;68228;ASCENDING;HH;N/A;0.026595;4;N/A;N/A;N/A;N/A;N/A;N/A;6803.1;5845372551695170%;POLYGON((18.17556 39.60918,17.79623 41.081924,17.320459 41.011887,17.709949 39.53936,18.17556 39.60918))
1275943;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-04;2020-01-24 at 16:39:00 UTC;2020-01-24 at 16:39:07 UTC;68339;DESCENDING;HH;N/A;0.0321975;1;N/A;N/A;N/A;N/A;N/A;N/A;1835.3;0.8381301742553622%;POLYGON((19.19902 41.587158,19.10013 41.188286,19.576324 41.121147,19.678347 41.51997,19.19902 41.587158))
1277741;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-01;2020-01-28 at 04:26:59 UTC;2020-01-28 at 04:28:04 UTC;68391;ASCENDING;HH;N/A;0.02662;11;N/A;N/A;N/A;N/A;N/A;N/A;18221.6;33066193430580000%;POLYGON((17.00633 38.22995,15.99256 42.173347,15.50878 42.103046,16.549561 38.160419,17.00633 38.22995))
1278534;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2020-01-30 at 16:51:00 UTC;2020-01-30 at 16:51:44 UTC;68428;DESCENDING;HH;N/A;0.0339215;8;N/A;N/A;N/A;N/A;N/A;N/A;12382.8;36620563516315100%;POLYGON((16.008221 42.110477,15.366889 39.449482,15.83691 39.382702,16.49733 42.04361,16.008221 42.110477))
1279374;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-02;2020-02-02 at 04:21:17 UTC;2020-02-02 at 04:21:41 UTC;68465;ASCENDING;HH;N/A;0.027205;4;N/A;N/A;N/A;N/A;N/A;N/A;6886.9;6530092178918150%;POLYGON((18.269911 39.623825,17.89394 41.091667,17.410419 41.020866,17.796659 39.553352,18.269911 39.623825))
1280633;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2020-02-04 at 16:45:10 UTC;2020-02-04 at 16:45:26 UTC;68502;DESCENDING;HH;N/A;0.033935;3;N/A;N/A;N/A;N/A;N/A;N/A;4447.2;41191157851354200%;POLYGON((17.300119 41.165848,17.07015 40.210049,17.54537 40.14323,17.782169 41.099049,17.300119 41.165848))
1281660;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-04;2020-02-07 at 04:15:26 UTC;2020-02-07 at 04:15:56 UTC;68539;ASCENDING;HH;N/A;0.032212000000000005;5;N/A;N/A;N/A;N/A;N/A;N/A;8664.1;0.7065559271864265%;POLYGON((20.315063 40.655224,19.881039 42.468529,19.366131 42.398129,19.832954 40.587559,20.315063 40.655224))
1285517;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-01;2020-02-13 at 04:26:56 UTC;2020-02-13 at 04:28:01 UTC;68628;ASCENDING;HH;N/A;0.02662;11;N/A;N/A;N/A;N/A;N/A;N/A;18228.6;33870811902822000%;POLYGON((17.017611 38.231876,16.003229 42.176788,15.519411 42.10656,16.56081 38.162418,17.017611 38.231876))
1286510;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2020-02-15 at 16:50:56 UTC;2020-02-15 at 16:51:40 UTC;68665;DESCENDING;HH;N/A;0.0339225;7;N/A;N/A;N/A;N/A;N/A;N/A;12220.0;36442776208751600%;POLYGON((16.019529 42.097328,15.38647 39.471329,15.85673 39.40493,16.508631 42.030823,16.019529 42.097328))
1287540;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-02;2020-02-18 at 04:21:14 UTC;2020-02-18 at 04:21:38 UTC;68702;ASCENDING;HH;N/A;0.027202999999999998;4;N/A;N/A;N/A;N/A;N/A;N/A;6819.2;6468118391660630%;POLYGON((18.27914 39.618584,17.907021 41.072048,17.423731 41.000904,17.806 39.547836,18.27914 39.618584))
1289299;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2020-02-20 at 16:45:08 UTC;2020-02-20 at 16:45:24 UTC;68739;DESCENDING;HH;N/A;0.033936;3;N/A;N/A;N/A;N/A;N/A;N/A;4453.2;4119134650419730%;POLYGON((17.304371 41.162167,17.07407 40.204994,17.54936 40.138641,17.786461 41.095684,17.304371 41.162167))
1296878;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-05;2020-03-02 at 16:50:59 UTC;2020-03-02 at 16:51:43 UTC;68902;DESCENDING;HH;N/A;0.0339245;8;N/A;N/A;N/A;N/A;N/A;N/A;12482.4;37303202868244600%;POLYGON((16.011841 42.122894,15.3651 39.440506,15.835121 39.373974,16.501089 42.056229,16.011841 42.122894))
1306300;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-01;2020-03-16 at 04:27:00 UTC;2020-03-16 at 04:28:05 UTC;69102;ASCENDING;HH;N/A;0.0266155;11;N/A;N/A;N/A;N/A;N/A;N/A;18158.7;31926031476511100%;POLYGON((16.996531 38.23138,15.98672 42.161243,15.503079 42.090729,16.53977 38.161774,16.996531 38.23138))
