Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1B_IW_SLC__1SDV_20210512T164104_20210512T164131_026874_0335F3_694C,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26874","73","140","2021-05-12T16:41:31.000000","2021-05-12T16:41:04.000000","SLC","2021-05-12T16:41:04.000000","2021-05-12T16:41:31.000000","44.0399","18.1008","43.019974","16.733324","43.419765","19.873137","44.637516","16.292665","45.037312","19.522076","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T164104_20210512T164131_026874_0335F3_694C.zip","4369.809016227722","None","None","0","S1B_IWDV_0139_0146_026874_073",""
S1B_IW_SLC__1SDV_20210512T164040_20210512T164107_026874_0335F3_64E0,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26874","73","135","2021-05-12T16:41:07.000000","2021-05-12T16:40:40.000000","SLC","2021-05-12T16:40:40.000000","2021-05-12T16:41:07.000000","42.5511","18.4688","41.531452","17.136602","41.930878","20.196102","43.150223","16.70853","43.549244","19.851057","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T164040_20210512T164107_026874_0335F3_64E0.zip","3963.6859560012817","None","None","0","S1B_IWDV_0134_0141_026874_073",""
S1B_IW_SLC__1SDV_20210512T164014_20210512T164042_026874_0335F3_16AC,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26874","73","130","2021-05-12T16:40:42.000000","2021-05-12T16:40:14.000000","SLC","2021-05-12T16:40:14.000000","2021-05-12T16:40:42.000000","41.0303","18.8173","39.981243","17.521261","40.382442","20.513033","41.658333","17.08939","42.058765","20.161034","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T164014_20210512T164042_026874_0335F3_16AC.zip","3781.2075052261353","None","None","0","S1B_IWDV_0129_0136_026874_073",""
S1B_IW_SLC__1SDV_20210512T163949_20210512T164016_026874_0335F3_25BB,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26874","73","125","2021-05-12T16:40:16.000000","2021-05-12T16:39:49.000000","SLC","2021-05-12T16:39:49.000000","2021-05-12T16:40:16.000000","39.5096","19.1673","38.488869","17.893116","38.891251","20.820198","40.10931","17.486227","40.510628","20.484901","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T163949_20210512T164016_026874_0335F3_25BB.zip","3552.3382654190063","None","None","0","S1B_IWDV_0124_0131_026874_073",""
S1A_IW_SLC__1SDV_20210512T044808_20210512T044835_037850_047798_B2AC,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37850","153","463","2021-05-12T04:48:35.000000","2021-05-12T04:48:08.000000","SLC","2021-05-12T04:48:08.000000","2021-05-12T04:48:35.000000","38.7151","19.0317","39.3195","20.689003","39.7201","17.736692","37.691185","20.285086","38.092999","17.401682","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T044808_20210512T044835_037850_047798_B2AC.zip","3343.9033966064453","None","None","0","S1A_IWDV_0463_0469_037850_153",""
S1A_IW_SLC__1SDV_20210512T044744_20210512T044811_037850_047798_F8C5,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37850","153","458","2021-05-12T04:48:11.000000","2021-05-12T04:47:44.000000","SLC","2021-05-12T04:47:44.000000","2021-05-12T04:48:11.000000","40.2065","19.3732","40.810303","21.067701","41.210056","18.047443","39.183075","20.65432","39.583733","17.708183","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T044744_20210512T044811_037850_047798_F8C5.zip","3778.2371215820312","None","None","0","S1A_IWDV_0458_0464_037850_153",""
S1A_IW_SLC__1SDV_20210512T044718_20210512T044746_037850_047798_BC43,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37850","153","453","2021-05-12T04:47:46.000000","2021-05-12T04:47:18.000000","SLC","2021-05-12T04:47:18.000000","2021-05-12T04:47:46.000000","41.7232","19.7283","42.352112","21.47077","42.751381","18.374319","40.674206","21.033152","41.074055","18.019135","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T044718_20210512T044746_037850_047798_BC43.zip","4099.283664703369","None","None","0","S1A_IWDV_0453_0459_037850_153",""
S1A_IW_SLC__1SDV_20210512T044653_20210512T044720_037850_047798_BD57,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37850","153","448","2021-05-12T04:47:20.000000","2021-05-12T04:46:53.000000","SLC","2021-05-12T04:46:53.000000","2021-05-12T04:47:20.000000","43.2448","20.0742","43.844673","21.84845","44.242065","18.682299","42.225826","21.414663","42.623436","18.334097","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T044653_20210512T044720_037850_047798_BD57.zip","4349.435953140259","None","None","0","S1A_IWDV_0448_0454_037850_153",""
S1A_IW_SLC__1SDV_20210511T164950_20210511T165017_037843_047765_AEDA,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37843","146","138","2021-05-11T16:50:17.000000","2021-05-11T16:49:50.000000","SLC","2021-05-11T16:49:50.000000","2021-05-11T16:50:17.000000","43.423","16.1964","42.402916","14.841049","42.803272","17.952524","44.020805","14.405708","44.420994","17.604134","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210511T164950_20210511T165017_037843_047765_AEDA.zip","4030.1880054473877","None","None","0","S1A_IWDV_0137_0144_037843_146",""
S1A_IW_SLC__1SDV_20210511T164925_20210511T164952_037843_047765_040F,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37843","146","133","2021-05-11T16:49:52.000000","2021-05-11T16:49:25.000000","SLC","2021-05-11T16:49:25.000000","2021-05-11T16:49:52.000000","41.9314","16.5414","40.91032","15.215501","41.312363","18.259295","42.529758","14.791444","42.931282","17.916147","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210511T164925_20210511T164952_037843_047765_040F.zip","3602.356022834778","None","None","0","S1A_IWDV_0132_0139_037843_146",""
