Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1B_IW_SLC__1SDV_20210512T181747_20210512T181814_026875_0335FB_94C9,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26875","74","115","2021-05-12T18:18:14.000000","2021-05-12T18:17:47.000000","SLC","2021-05-12T18:17:47.000000","2021-05-12T18:18:14.000000","36.7026","-4.8838","35.682327","-6.09859","36.084404","-3.302858","37.304733","-6.489057","37.705227","-3.631347","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T181747_20210512T181814_026875_0335FB_94C9.zip","4053.0816316604614","None","None","0","S1B_IWDV_0115_0121_026875_074",""
S1B_IW_SLC__1SDV_20210512T181722_20210512T181749_026875_0335FB_9C94,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26875","74","110","2021-05-12T18:17:49.000000","2021-05-12T18:17:22.000000","SLC","2021-05-12T18:17:22.000000","2021-05-12T18:17:49.000000","35.2074","-4.5682","34.186218","-5.762816","34.591324","-3.013015","35.808357","-6.145973","36.211647","-3.338423","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T181722_20210512T181749_026875_0335FB_9C94.zip","3985.4660453796387","None","None","0","S1B_IWDV_0110_0116_026875_074",""
S1A_IW_SLC__1SDV_20210512T062747_20210512T062814_037851_0477A3_9076,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37851","154","474","2021-05-12T06:28:14.000000","2021-05-12T06:27:47.000000","SLC","2021-05-12T06:27:47.000000","2021-05-12T06:28:14.000000","35.4412","-6.3908","36.041355","-4.796966","36.447422","-7.635843","34.417534","-5.181785","34.825405","-7.961714","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T062747_20210512T062814_037851_0477A3_9076.zip","3651.0360078811646","None","None","0","S1A_IWDV_0473_0480_037851_154",""
S1A_IW_SLC__1SDV_20210512T062723_20210512T062750_037851_0477A3_4354,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37851","154","469","2021-05-12T06:27:50.000000","2021-05-12T06:27:23.000000","SLC","2021-05-12T06:27:23.000000","2021-05-12T06:27:50.000000","36.9347","-6.0613","37.534996","-4.435798","37.939613","-7.332974","35.911541","-4.828292","36.317711","-7.662066","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T062723_20210512T062750_037851_0477A3_4354.zip","4001.8072690963745","None","None","0","S1A_IWDV_0468_0475_037851_154",""
S1A_IW_SLC__1SDV_20210511T182640_20210511T182707_037844_04776D_3EAD,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37844","147","115","2021-05-11T18:27:07.000000","2021-05-11T18:26:40.000000","SLC","2021-05-11T18:26:40.000000","2021-05-11T18:27:07.000000","36.5795","-6.9261","35.558411","-8.143232","35.962212","-5.343009","37.180645","-8.533385","37.582851","-5.671356","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210511T182640_20210511T182707_037844_04776D_3EAD.zip","3824.73930644989","None","None","0","S1A_IWDV_0114_0121_037844_147",""
S1A_IW_SLC__1SDV_20210511T182615_20210511T182642_037844_04776D_1660,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37844","147","110","2021-05-11T18:26:42.000000","2021-05-11T18:26:15.000000","SLC","2021-05-11T18:26:15.000000","2021-05-11T18:26:42.000000","35.0872","-6.5918","34.065872","-7.783933","34.470779","-5.039533","35.688457","-8.166446","36.091518","-5.364655","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210511T182615_20210511T182642_037844_04776D_1660.zip","3804.840503692627","None","None","0","S1A_IWDV_0109_0116_037844_147",""
S1B_IW_SLC__1SDV_20210509T175302_20210509T175329_026831_03348C_9AD8,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26831","30","115","2021-05-09T17:53:29.000000","2021-05-09T17:53:02.000000","SLC","2021-05-09T17:53:02.000000","2021-05-09T17:53:29.000000","36.5071","1.3237","35.48634","0.107002","35.890266","2.905797","37.107742","-0.282482","37.510056","2.577901","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210509T175302_20210509T175329_026831_03348C_9AD8.zip","3828.7241773605347","None","None","0","S1B_IWDV_0114_0121_026831_030",""
S1B_IW_SLC__1SDV_20210509T175237_20210509T175304_026831_03348C_4779,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26831","30","110","2021-05-09T17:53:04.000000","2021-05-09T17:52:37.000000","SLC","2021-05-09T17:52:37.000000","2021-05-09T17:53:04.000000","34.9871","1.67","33.937424","0.486913","34.341934","3.224892","35.617344","0.091631","36.019909","2.888695","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210509T175237_20210509T175304_026831_03348C_4779.zip","4021.231780052185","None","None","0","S1B_IWDV_0109_0116_026831_030",""
S1A_IW_SLC__1SDV_20210509T060306_20210509T060333_037807_047656_24E0,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37807","110","474","2021-05-09T06:03:33.000000","2021-05-09T06:03:06.000000","SLC","2021-05-09T06:03:06.000000","2021-05-09T06:03:33.000000","35.4709","-0.2185","36.071831","1.371778","36.47654","-1.459875","34.44791","0.987005","34.854424","-1.785791","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210509T060306_20210509T060333_037807_047656_24E0.zip","3917.4477462768555","None","None","0","S1A_IWDV_0473_0480_037807_110",""
S1A_IW_SLC__1SDV_20210509T060241_20210509T060308_037807_047656_E6FE,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37807","110","469","2021-05-09T06:03:08.000000","2021-05-09T06:02:41.000000","SLC","2021-05-09T06:02:41.000000","2021-05-09T06:03:08.000000","36.9642","0.1116","37.565323","1.733747","37.968651","-1.156517","35.941643","1.34125","36.346523","-1.485696","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210509T060241_20210509T060308_037807_047656_E6FE.zip","3509.252049446106","None","None","0","S1A_IWDV_0468_0475_037807_110",""
