id;satellite;sensor;mode;acquisition start;acquisition stop;orbit;orbit direction;polarisation mode;elevation angle;incidence angle;number of frames;interferometric stack id;Geo Bas Perp;Geo Bas Parallel;cloud percent;off nadir angle;sun elevation angle;area square kilometers;AoI coverage;footprint
1788675;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-03;2021-04-05 at 04:44:43 UTC;2021-04-05 at 04:45:00 UTC;74805;ASCENDING;HH;N/A;0.0293255;3;N/A;N/A;N/A;N/A;N/A;N/A;4781.6;8817727853170960%;POLYGON((13.03774 37.342819,12.7858 38.386658,12.33114 38.318741,12.58942 37.275013,13.03774 37.342819))
1860442;COSMO-SkyMed-1;StripMap (HIMAGE) - Right;H4-03;2021-05-07 at 04:44:44 UTC;2021-05-07 at 04:45:02 UTC;75279;ASCENDING;HH;N/A;0.029321;3;N/A;N/A;N/A;N/A;N/A;N/A;4773.3;9073770980591440%;POLYGON((13.04005 37.327194,12.78855 38.369202,12.33401 38.301273,12.59183 37.259342,13.04005 37.327194))
1271672;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-01-12 at 17:04:07 UTC;2020-01-12 at 17:04:22 UTC;65436;DESCENDING;HH;N/A;0.032192;3;N/A;N/A;N/A;N/A;N/A;N/A;4091.7;3338872879001520%;POLYGON((12.38594 38.41095,12.1772 37.523483,12.63028 37.456635,12.84449 38.344067,12.38594 38.41095))
1277746;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-01-28 at 17:04:09 UTC;2020-01-28 at 17:04:23 UTC;65673;DESCENDING;HH;N/A;0.032188499999999995;2;N/A;N/A;N/A;N/A;N/A;N/A;4013.0;34781990761813400%;POLYGON((12.37288 38.389904,12.16819 37.51955,12.62121 37.452557,12.83128 38.322952,12.37288 38.389904))
1285544;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-02-13 at 17:04:09 UTC;2020-02-13 at 17:04:23 UTC;65910;DESCENDING;HH;N/A;0.0321905;2;N/A;N/A;N/A;N/A;N/A;N/A;4019.6;3494897562473310%;POLYGON((12.37241 38.391926,12.16733 37.520088,12.62034 37.453026,12.83078 38.324787,12.37241 38.391926))
1295956;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-02-29 at 17:04:07 UTC;2020-02-29 at 17:04:22 UTC;66147;DESCENDING;HH;N/A;0.032188;3;N/A;N/A;N/A;N/A;N/A;N/A;4118.3;3360573406876480%;POLYGON((12.38363 38.406326,12.17347 37.513058,12.62642 37.445938,12.84206 38.339066,12.38363 38.406326))
1306303;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-03-16 at 17:04:07 UTC;2020-03-16 at 17:04:22 UTC;66384;DESCENDING;HH;N/A;0.032192500000000006;2;N/A;N/A;N/A;N/A;N/A;N/A;4019.2;3348826504865530%;POLYGON((12.38121 38.393147,12.17606 37.5214,12.62912 37.45451,12.83962 38.326183,12.38121 38.393147))
1314608;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-04-01 at 17:04:10 UTC;2020-04-01 at 17:04:25 UTC;66621;DESCENDING;HH;N/A;0.0321865;2;N/A;N/A;N/A;N/A;N/A;N/A;4014.5;3489654771467390%;POLYGON((12.37303 38.392998,12.16809 37.522308,12.62112 37.455269,12.83143 38.325951,12.37303 38.392998))
1326908;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-04-17 at 17:04:11 UTC;2020-04-17 at 17:04:26 UTC;66858;DESCENDING;HH;N/A;0.0321875;2;N/A;N/A;N/A;N/A;N/A;N/A;4008.0;3497731516443100%;POLYGON((12.37267 38.393425,12.16805 37.524174,12.62106 37.456989,12.83104 38.326267,12.37267 38.393425))
1358667;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2020-06-04 at 17:04:11 UTC;2020-06-04 at 17:04:26 UTC;67569;DESCENDING;HH;N/A;0.0321905;2;N/A;N/A;N/A;N/A;N/A;N/A;4079.8;3596613372789330%;POLYGON((12.36651 38.391983,12.15843 37.507103,12.6114 37.44025,12.82495 38.325134,12.36651 38.391983))
