Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1B_IW_SLC__1SDV_20210510T165601_20210510T165627_026845_0334F9_C2AD,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26845","44","122","2021-05-10T16:56:27.000000","2021-05-10T16:56:01.000000","SLC","2021-05-10T16:56:01.000000","2021-05-10T16:56:27.000000","38.557","15.2609","37.534817","13.995514","37.940651","16.90061","39.155376","13.59419","39.559959","16.568014","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210510T165601_20210510T165627_026845_0334F9_C2AD.zip","3691.272192001343","None","None","0","S1B_IWDV_0121_0128_026845_044",""
S1B_IW_SLC__1SDV_20210510T165536_20210510T165603_026845_0334F9_297B,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26845","44","117","2021-05-10T16:56:03.000000","2021-05-10T16:55:36.000000","SLC","2021-05-10T16:55:36.000000","2021-05-10T16:56:03.000000","37.0639","15.5927","36.040352","14.352725","36.44796","17.20101","37.663052","13.959464","38.069134","16.871746","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210510T165536_20210510T165603_026845_0334F9_297B.zip","3471.8393001556396","None","None","0","S1B_IWDV_0116_0123_026845_044",""
S1A_IW_SLC__1SDV_20210510T050500_20210510T050527_037821_0476C8_9B39,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37821","124","468","2021-05-10T05:05:27.000000","2021-05-10T05:05:00.000000","SLC","2021-05-10T05:05:00.000000","2021-05-10T05:05:27.000000","37.2382","14.5801","37.843163","16.200542","38.244034","13.316071","36.214321","15.805369","36.61668","12.984884","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210510T050500_20210510T050527_037821_0476C8_9B39.zip","3834.2839012145996","None","None","0","S1A_IWDV_0467_0474_037821_124",""
S1A_IW_SLC__1SDV_20210510T050435_20210510T050503_037821_0476C8_0786,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37821","124","463","2021-05-10T05:05:03.000000","2021-05-10T05:04:35.000000","SLC","2021-05-10T05:04:35.000000","2021-05-10T05:05:03.000000","38.7299","14.9195","39.334476","16.57546","39.734604","13.625797","37.706181","16.171516","38.107513","13.290732","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210510T050435_20210510T050503_037821_0476C8_0786.zip","3420.459578514099","None","None","0","S1A_IWDV_0462_0469_037821_124",""
S1A_IW_SLC__1SDV_20210509T170501_20210509T170528_037814_04768F_C064,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37814","117","123","2021-05-09T17:05:28.000000","2021-05-09T17:05:01.000000","SLC","2021-05-09T17:05:01.000000","2021-05-09T17:05:28.000000","38.8756","13.1352","37.854935","11.873759","38.25769","14.772223","39.475552","11.47076","39.877121","14.438562","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210509T170501_20210509T170528_037814_04768F_C064.zip","3359.6363439559937","None","None","0","S1A_IWDV_0122_0129_037814_117",""
S1A_IW_SLC__1SDV_20210509T170436_20210509T170503_037814_04768F_1902,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37814","117","118","2021-05-09T17:05:03.000000","2021-05-09T17:04:36.000000","SLC","2021-05-09T17:04:36.000000","2021-05-09T17:05:03.000000","37.384","13.4772","36.36301","12.243528","36.766563","15.079849","37.984547","11.849326","38.386623","14.750046","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210509T170436_20210509T170503_037814_04768F_1902.zip","3907.2635164260864","None","None","0","S1A_IWDV_0117_0124_037814_117",""
S1B_IW_SLC__1SDV_20210509T051230_20210509T051257_026823_03344B_B36A,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26823","22","468","2021-05-09T05:12:57.000000","2021-05-09T05:12:30.000000","SLC","2021-05-09T05:12:30.000000","2021-05-09T05:12:57.000000","37.3503","12.5663","37.95179","14.191366","38.35376","11.297225","36.328716","13.796474","36.732124","10.966572","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210509T051230_20210509T051257_026823_03344B_B36A.zip","3399.496726989746","None","None","0","S1B_IWDV_0467_0474_026823_022",""
S1B_IW_SLC__1SDV_20210509T051205_20210509T051232_026823_03344B_C919,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26823","22","463","2021-05-09T05:12:32.000000","2021-05-09T05:12:05.000000","SLC","2021-05-09T05:12:05.000000","2021-05-09T05:12:32.000000","38.8424","12.903","39.442833","14.562651","39.843754","11.604768","37.822029","14.159454","38.22411","11.270601","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210509T051205_20210509T051232_026823_03344B_C919.zip","3270.7717361450195","None","None","0","S1B_IWDV_0462_0469_026823_022",""
S1B_IW_SLC__1SDV_20210508T171228_20210508T171254_026816_033416_174D,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26816","15","121","2021-05-08T17:12:54.000000","2021-05-08T17:12:28.000000","SLC","2021-05-08T17:12:28.000000","2021-05-08T17:12:54.000000","38.5409","11.1456","37.51833","9.882668","37.923779","12.783216","39.140015","9.481081","39.54422","12.450256","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210508T171228_20210508T171254_026816_033416_174D.zip","3188.947546005249","None","None","0","S1B_IWDV_0121_0127_026816_015",""
S1B_IW_SLC__1SDV_20210508T171203_20210508T171230_026816_033416_A5EB,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26816","15","117","2021-05-08T17:12:30.000000","2021-05-08T17:12:03.000000","SLC","2021-05-08T17:12:03.000000","2021-05-08T17:12:30.000000","37.048","11.4811","36.025146","10.244102","36.432007","13.086114","37.647121","9.851132","38.05246","12.756932","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210508T171203_20210508T171230_026816_033416_A5EB.zip","3454.349069595337","None","None","0","S1B_IWDV_0116_0122_026816_015",""
S1A_IW_SLC__1SDV_20210508T052137_20210508T052204_037792_0475E2_CFE1,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37792","95","470","2021-05-08T05:22:04.000000","2021-05-08T05:21:37.000000","SLC","2021-05-08T05:21:37.000000","2021-05-08T05:22:04.000000","36.6458","10.3253","37.246033","11.943297","37.65044","9.059839","35.623161","11.552731","36.029182","8.731697","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210508T052137_20210508T052204_037792_0475E2_CFE1.zip","4022.9965324401855","None","None","0","S1A_IWDV_0469_0476_037792_095",""
