Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1A_IW_SLC__1SDV_20210512T173025_20210512T173052_037858_0477DB_BE75,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37858","161","131","2021-05-12T17:30:52.000000","2021-05-12T17:30:25.000000","SLC","2021-05-12T17:30:25.000000","2021-05-12T17:30:52.000000","41.4466","6.3667","40.426319","5.057892","40.826851","8.064723","42.046223","4.637475","42.446125","7.722929","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T173025_20210512T173052_037858_0477DB_BE75.zip","3461.396866798401","None","None","0","S1A_IWDV_0131_0137_037858_161",""
S1A_IW_SLC__1SDV_20210512T173000_20210512T173027_037858_0477DB_AB29,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37858","161","126","2021-05-12T17:30:27.000000","2021-05-12T17:30:00.000000","SLC","2021-05-12T17:30:00.000000","2021-05-12T17:30:27.000000","39.9265","6.7209","38.877483","5.449151","39.27895","8.386506","40.55521","5.024876","40.955681","8.037733","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T173000_20210512T173027_037858_0477DB_AB29.zip","3778.2103300094604","None","None","0","S1A_IWDV_0126_0132_037858_161",""
S1A_IW_SLC__1SDV_20210512T172935_20210512T173002_037858_0477DB_5194,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37858","161","121","2021-05-12T17:30:02.000000","2021-05-12T17:29:35.000000","SLC","2021-05-12T17:29:35.000000","2021-05-12T17:30:02.000000","38.4059","7.068","37.385559","5.817148","37.788204","8.692413","39.006084","5.417036","39.407463","8.359959","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210512T172935_20210512T173002_037858_0477DB_5194.zip","3479.7510747909546","None","None","0","S1A_IWDV_0121_0126_037858_161",""
S1B_IW_SLC__1SDV_20210512T053637_20210512T053659_026867_0335B6_085D,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26867","66","461","2021-05-12T05:36:59.000000","2021-05-12T05:36:37.000000","SLC","2021-05-12T05:36:37.000000","2021-05-12T05:36:59.000000","39.5905","6.877","40.031086","8.498017","40.426914","5.544334","38.735214","8.172606","39.13187","5.275591","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T053637_20210512T053659_026867_0335B6_085D.zip","2691.582797050476","None","None","0","S1B_IWDV_0460_0465_026867_066",""
S1B_IW_SLC__1SDV_20210512T053611_20210512T053639_026867_0335B6_08C6,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26867","66","456","2021-05-12T05:36:39.000000","2021-05-12T05:36:11.000000","SLC","2021-05-12T05:36:11.000000","2021-05-12T05:36:39.000000","40.9419","7.1893","41.573456","8.894613","41.968586","5.868556","39.89513","8.463555","40.291035","5.51599","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T053611_20210512T053639_026867_0335B6_08C6.zip","3801.1297931671143","None","None","0","S1B_IWDV_0455_0462_026867_066",""
S1B_IW_SLC__1SDV_20210512T053547_20210512T053614_026867_0335B6_E214,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26867","66","451","2021-05-12T05:36:14.000000","2021-05-12T05:35:47.000000","SLC","2021-05-12T05:35:47.000000","2021-05-12T05:36:14.000000","42.4616","7.5484","43.063637","9.288397","43.458408","6.18694","41.444008","8.860914","41.839176","5.841187","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210512T053547_20210512T053614_026867_0335B6_E214.zip","3859.8011808395386","None","None","0","S1B_IWDV_0450_0457_026867_066",""
S1B_IW_SLC__1SDV_20210508T171317_20210508T171345_026816_033416_ABC5,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26816","15","131","2021-05-08T17:13:45.000000","2021-05-08T17:13:17.000000","SLC","2021-05-08T17:13:17.000000","2021-05-08T17:13:45.000000","41.553","10.4496","40.501778","9.135789","40.905197","12.166991","42.180355","8.698867","42.583153","11.812543","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210508T171317_20210508T171345_026816_033416_ABC5.zip","3426.0110998153687","None","None","0","S1B_IWDV_0131_0137_026816_015",""
S1B_IW_SLC__1SDV_20210508T171252_20210508T171319_026816_033416_367B,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26816","15","126","2021-05-08T17:13:19.000000","2021-05-08T17:12:52.000000","SLC","2021-05-08T17:12:52.000000","2021-05-08T17:13:19.000000","40.0326","10.8043","39.010925","9.513417","39.415218","12.476928","40.630913","9.102633","41.034271","12.139938","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210508T171252_20210508T171319_026816_033416_367B.zip","3256.8346786499023","None","None","0","S1B_IWDV_0126_0132_026816_015",""
S1B_IW_SLC__1SDV_20210508T171228_20210508T171254_026816_033416_174D,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","26816","15","121","2021-05-08T17:12:54.000000","2021-05-08T17:12:28.000000","SLC","2021-05-08T17:12:28.000000","2021-05-08T17:12:54.000000","38.5409","11.1456","37.51833","9.882668","37.923779","12.783216","39.140015","9.481081","39.54422","12.450256","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210508T171228_20210508T171254_026816_033416_174D.zip","3188.947546005249","None","None","0","S1B_IWDV_0121_0127_026816_015",""
S1A_IW_SLC__1SDV_20210508T052113_20210508T052140_037792_0475E2_2D33,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","37792","95","465","2021-05-08T05:21:40.000000","2021-05-08T05:21:13.000000","SLC","2021-05-08T05:21:13.000000","2021-05-08T05:21:40.000000","38.1375","10.6633","38.737465","12.316381","39.141106","9.36851","37.114994","11.917357","37.519974","9.036695","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210508T052113_20210508T052140_037792_0475E2_2D33.zip","3641.6607751846313","None","None","0","S1A_IWDV_0464_0471_037792_095",""
